graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,8.0,0.09523809523809523,2.0,10,4,10,"[T1 W: 0, T4 W: 8.0]",original
erdos-renyi,25,1,9.0,0.06521739130434782,2.0,10,6,10,"[T0 W: 0, T2 W: 9.0]",original
erdos-renyi,25,1,7.0,0.09210526315789473,2.0,10,2,10,"[T5 W: 0, T9 W: 7.0]",original
erdos-renyi,25,1,7.0,0.11290322580645161,2.0,10,4,10,"[T0 W: 0, T6 W: 7.0]",original
erdos-renyi,25,1,8.0,0.07407407407407407,2.0,10,4,10,"[T11 W: 0, T1 W: 8.0]",original
erdos-renyi,25,2,18.0,0.06976744186046512,1.689922480620155,10,5,10,"[T11 W: 0, T13 W: 18.0]",original
erdos-renyi,25,2,18.0,0.06716417910447761,1.7835820895522387,10,6,10,"[T19 W: 0, T7 W: 18.0]",original
erdos-renyi,25,2,14.0,0.08235294117647059,1.7882352941176471,10,5,10,"[T20 W: 0, T1 W: 14.0]",original
erdos-renyi,25,2,18.0,0.08035714285714286,1.4285714285714286,10,6,10,"[T3 W: 0, T16 W: 18.0]",original
erdos-renyi,25,2,16.0,0.07920792079207921,1.6732673267326732,10,6,10,"[T5 W: 0, T11 W: 16.0]",original
erdos-renyi,25,3,18.0,0.05625,1.575,10,7,10,"[T4 W: 0, T12 W: 18.0]",original
erdos-renyi,25,3,18.0,0.05844155844155844,1.4025974025974026,10,6,10,"[T24 W: 0, T5 W: 18.0]",original
erdos-renyi,25,3,16.0,0.053691275167785234,1.570469798657718,10,6,10,"[T2 W: 0, T8 W: 16.0]",original
erdos-renyi,25,3,18.0,0.05202312138728324,1.3757225433526012,10,6,10,"[T2 W: 0, T1 W: 18.0]",original
erdos-renyi,25,3,14.0,0.04046242774566474,1.69364161849711,10,6,10,"[T9 W: 0, T19 W: 14.0]",original
erdos-renyi,25,4,16.0,0.03669724770642202,1.3440366972477065,10,6,10,"[T1 W: 0, T15 W: 16.0]",original
erdos-renyi,25,4,18.0,0.03529411764705882,1.4352941176470588,10,8,10,"[T1 W: 0, T9 W: 18.0]",original
erdos-renyi,25,4,18.0,0.033962264150943396,1.4943396226415093,10,9,10,"[T0 W: 0, T2 W: 18.0]",original
erdos-renyi,25,4,16.0,0.03827751196172249,1.38755980861244,10,7,10,"[T5 W: 0, T8 W: 16.0]",original
