graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route,ratio
erdos-renyi,11,3,33.0,0.22916666666666666,1.3333333333333333,10,10,"[T1 W: 0, T5 W: 17.0, T8 W: 0]",0.25
erdos-renyi,11,3,37.0,0.22289156626506024,1.3373493975903614,10,10,"[T3 W: 0, T10 W: 12.0, T8 W: 0]",0.25
erdos-renyi,11,3,27.0,0.1588235294117647,1.2117647058823529,10,10,"[T1 W: 0, T10 W: 9.0, T6 W: 0]",0.25
erdos-renyi,11,3,30.0,0.12,1.14,10,10,"[T2 W: 0, T0 W: 14.0, T10 W: 0]",0.25
erdos-renyi,11,3,27.0,0.125,1.0972222222222223,10,10,"[T7 W: 0, T0 W: 9.0, T9 W: 0]",0.25
erdos-renyi,11,4,28.0,0.12612612612612611,1.0,10,10,"[T1 W: 0, T10 W: 16.0, T4 W: 0]",0.33
erdos-renyi,11,4,35.0,0.11006289308176101,1.2672955974842768,10,10,"[T1 W: 0, T9 W: 15.0, T10 W: 0]",0.33
erdos-renyi,11,4,30.0,0.1171875,1.015625,10,10,"[T1 W: 0, T0 W: 16.0, T7 W: 0]",0.33
erdos-renyi,11,4,26.0,0.13402061855670103,1.1494845360824741,10,10,"[T3 W: 0, T4 W: 9.0, T9 W: 0]",0.33
erdos-renyi,11,4,14.0,0.08860759493670886,0.8670886075949367,10,10,"[T2 W: 0, T7 W: 7.0, T9 W: 0]",0.33
erdos-renyi,11,5,25.0,0.09057971014492754,0.9057971014492754,10,10,"[T6 W: 0, T9 W: 10.0, T8 W: 0]",0.45
erdos-renyi,11,5,22.0,0.08333333333333333,1.0151515151515151,10,10,"[T1 W: 0, T10 W: 14.0, T4 W: 0]",0.45
erdos-renyi,11,5,23.0,0.17692307692307693,0.9230769230769231,10,10,"[T6 W: 0, T1 W: 7.0, T8 W: 0]",0.45
erdos-renyi,11,5,14.0,0.07291666666666667,0.90625,10,10,"[T6 W: 0, T1 W: 6.0, T9 W: 0]",0.45
erdos-renyi,11,5,31.0,0.1040268456375839,1.2953020134228188,10,10,"[T5 W: 0, T6 W: 11.0, T8 W: 0]",0.45
erdos-renyi,11,3,30.0,0.234375,1.109375,16,16,"[T2 W: 0, T8 W: 16.0, T9 W: 0]",0.25
erdos-renyi,11,3,22.0,0.22916666666666666,1.21875,16,16,"[T2 W: 0, T8 W: 8.0, T4 W: 0]",0.25
erdos-renyi,11,3,16.0,0.1509433962264151,1.0660377358490567,16,16,"[T0 W: 0, T3 W: 8.0, T5 W: 0]",0.25
erdos-renyi,11,3,30.0,0.12605042016806722,1.1512605042016806,16,16,"[T6 W: 0, T0 W: 17.0, T8 W: 0]",0.25
erdos-renyi,11,3,30.0,0.2112676056338028,1.0422535211267605,16,16,"[T1 W: 0, T4 W: 17.0, T2 W: 0]",0.25
erdos-renyi,11,4,21.0,0.11413043478260869,1.125,16,16,"[T2 W: 0, T4 W: 14.0, T6 W: 0]",0.33
erdos-renyi,11,4,22.0,0.1111111111111111,1.0303030303030303,16,16,"[T5 W: 0, T7 W: 8.0, T9 W: 0]",0.33
erdos-renyi,11,4,22.0,0.10679611650485436,1.2524271844660195,16,16,"[T8 W: 0, T6 W: 9.0, T9 W: 0]",0.33
erdos-renyi,11,4,15.0,0.20833333333333334,1.0277777777777777,16,16,"[T1 W: 0, T10 W: 8.0, T3 W: 0]",0.33
erdos-renyi,11,4,20.0,0.12048192771084337,1.0180722891566265,16,16,"[T0 W: 0, T1 W: 8.0, T8 W: 0]",0.33
erdos-renyi,11,5,24.0,0.08571428571428572,0.9642857142857143,16,16,"[T2 W: 0, T7 W: 12.0, T10 W: 0]",0.45
erdos-renyi,11,5,21.0,0.09210526315789473,0.7412280701754386,16,16,"[T2 W: 0, T10 W: 15.0, T8 W: 0]",0.45
erdos-renyi,11,5,24.0,0.09375,1.05078125,16,16,"[T2 W: 0, T0 W: 10.0, T5 W: 0]",0.45
erdos-renyi,11,5,30.0,0.09868421052631579,1.2532894736842106,16,16,"[T6 W: 0, T2 W: 14.0, T10 W: 0]",0.45
erdos-renyi,11,5,23.0,0.10952380952380952,1.0238095238095237,16,16,"[T0 W: 0, T3 W: 11.0, T2 W: 0]",0.45
erdos-renyi,11,3,21.0,0.11538461538461539,0.7637362637362637,24,24,"[T4 W: 0, T10 W: 8.0, T6 W: 0]",0.25
erdos-renyi,11,3,18.0,0.12162162162162163,0.9256756756756757,24,24,"[T4 W: 0, T7 W: 10.0, T8 W: 0]",0.25
erdos-renyi,11,3,20.0,0.18867924528301888,1.3584905660377358,24,24,"[T5 W: 0, T4 W: 7.0, T9 W: 0]",0.25
erdos-renyi,11,3,20.0,0.13157894736842105,0.9605263157894737,24,24,"[T1 W: 0, T0 W: 6.0, T3 W: 0]",0.25
erdos-renyi,11,3,36.0,0.16822429906542055,1.0093457943925233,24,24,"[T1 W: 0, T4 W: 18.0, T9 W: 0]",0.25
erdos-renyi,11,4,29.0,0.15591397849462366,1.2150537634408602,24,24,"[T4 W: 0, T3 W: 15.0, T6 W: 0]",0.33
erdos-renyi,11,4,24.0,0.11764705882352941,1.0686274509803921,24,24,"[T1 W: 0, T6 W: 9.0, T2 W: 0]",0.33
erdos-renyi,11,4,22.0,0.16417910447761194,1.3432835820895523,24,24,"[T8 W: 0, T5 W: 12.0, T9 W: 0]",0.33
erdos-renyi,11,4,22.0,0.11,1.105,24,24,"[T2 W: 0, T4 W: 9.0, T5 W: 0]",0.33
erdos-renyi,11,4,20.0,0.15151515151515152,1.3409090909090908,24,24,"[T3 W: 0, T7 W: 8.0, T6 W: 0]",0.33
erdos-renyi,11,5,25.0,0.08561643835616438,1.1986301369863013,24,24,"[T1 W: 0, T10 W: 12.0, T7 W: 0]",0.45
erdos-renyi,11,5,29.0,0.12184873949579832,1.2478991596638656,24,24,"[T3 W: 0, T4 W: 20.0, T10 W: 0]",0.45
erdos-renyi,11,5,27.0,0.11065573770491803,1.0655737704918034,24,24,"[T3 W: 0, T6 W: 15.0, T9 W: 0]",0.45
erdos-renyi,11,5,26.0,0.11818181818181818,1.1727272727272726,24,24,"[T2 W: 0, T3 W: 15.0, T10 W: 0]",0.45
erdos-renyi,11,5,23.0,0.11165048543689321,0.8446601941747572,24,24,"[T1 W: 0, T10 W: 8.0, T7 W: 0]",0.45
erdos-renyi,11,3,19.0,0.1130952380952381,1.0833333333333333,48,48,"[T0 W: 0, T5 W: 13.0, T4 W: 0]",0.25
erdos-renyi,11,3,16.0,0.10666666666666667,1.0733333333333333,48,48,"[T0 W: 0, T2 W: 8.0, T9 W: 0]",0.25
erdos-renyi,11,3,20.0,0.23809523809523808,1.1904761904761905,48,48,"[T3 W: 0, T10 W: 9.0, T9 W: 0]",0.25
erdos-renyi,11,3,25.0,0.13157894736842105,1.2894736842105263,48,48,"[T1 W: 0, T7 W: 11.0, T10 W: 0]",0.25
erdos-renyi,11,3,21.0,0.14,1.16,48,48,"[T0 W: 0, T2 W: 14.0, T8 W: 0]",0.25
erdos-renyi,11,4,28.0,0.17721518987341772,1.259493670886076,48,48,"[T9 W: 0, T8 W: 11.0, T10 W: 0]",0.33
erdos-renyi,11,4,31.0,0.14485981308411214,0.794392523364486,48,48,"[T4 W: 0, T9 W: 16.0, T5 W: 0]",0.33
erdos-renyi,11,4,26.0,0.11016949152542373,0.902542372881356,48,48,"[T0 W: 0, T3 W: 11.0, T2 W: 0]",0.33
erdos-renyi,11,4,25.0,0.09328358208955224,1.0037313432835822,48,48,"[T4 W: 0, T9 W: 10.0, T8 W: 0]",0.33
erdos-renyi,11,4,18.0,0.09,0.985,48,48,"[T1 W: 0, T4 W: 7.0, T10 W: 0]",0.33
erdos-renyi,11,5,22.0,0.07801418439716312,0.9929078014184397,48,48,"[T2 W: 0, T3 W: 8.0, T8 W: 0]",0.45
erdos-renyi,11,5,24.0,0.09302325581395349,0.9728682170542635,48,48,"[T1 W: 0, T8 W: 16.0, T9 W: 0]",0.45
erdos-renyi,11,5,29.0,0.1,1.0862068965517242,48,48,"[T4 W: 0, T2 W: 16.0, T9 W: 0]",0.45
erdos-renyi,11,5,24.0,0.07741935483870968,0.964516129032258,48,48,"[T1 W: 0, T10 W: 15.0, T2 W: 0]",0.45
erdos-renyi,11,5,23.0,0.08582089552238806,1.0970149253731343,48,48,"[T8 W: 0, T4 W: 14.0, T10 W: 0]",0.45
erdos-renyi,15,4,25.0,0.07183908045977011,1.103448275862069,10,10,"[T1 W: 0, T6 W: 9.0, T10 W: 0]",0.25
erdos-renyi,15,4,25.0,0.07763975155279502,0.8540372670807453,10,10,"[T3 W: 0, T1 W: 17.0, T5 W: 0]",0.25
erdos-renyi,15,4,22.0,0.09401709401709402,1.1538461538461537,10,10,"[T1 W: 0, T4 W: 7.0, T7 W: 0]",0.25
erdos-renyi,15,4,25.0,0.07183908045977011,1.1666666666666667,10,10,"[T1 W: 0, T7 W: 9.0, T2 W: 0]",0.25
erdos-renyi,15,4,21.0,0.075,0.9571428571428572,10,10,"[T0 W: 0, T14 W: 7.0, T11 W: 0]",0.25
erdos-renyi,15,5,27.0,0.10384615384615385,1.0576923076923077,10,10,"[T2 W: 0, T11 W: 18.0, T14 W: 0]",0.33
erdos-renyi,15,5,27.0,0.07627118644067797,1.0677966101694916,10,10,"[T2 W: 0, T9 W: 15.0, T5 W: 0]",0.33
