graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,26.0,0.026422764227642278,0.9237804878048781,10,11,10,"[T1 W: 0, T5 W: 17.0, T4 W: 0]",0.25
erdos-renyi,25,7,29.0,0.02761904761904762,0.9771428571428571,10,14,10,"[T8 W: 0, T4 W: 15.0, T21 W: 0]",0.25
erdos-renyi,25,7,27.0,0.03638814016172507,0.944743935309973,10,11,10,"[T2 W: 0, T9 W: 18.0, T3 W: 0]",0.25
erdos-renyi,25,7,23.0,0.025109170305676855,0.8853711790393013,10,11,10,"[T6 W: 0, T9 W: 7.0, T12 W: 0]",0.25
erdos-renyi,25,7,22.0,0.023255813953488372,0.7008456659619451,10,13,10,"[T3 W: 0, T15 W: 11.0, T8 W: 0]",0.25
erdos-renyi,25,9,24.0,0.021621621621621623,1.0297297297297296,10,13,10,"[T7 W: 0, T15 W: 10.0, T24 W: 0]",0.33
erdos-renyi,25,9,31.0,0.030155642023346304,0.8998054474708171,10,12,10,"[T6 W: 0, T20 W: 13.0, T24 W: 0]",0.33
erdos-renyi,25,9,29.0,0.023274478330658106,0.9863563402889246,10,14,10,"[T15 W: 0, T20 W: 14.0, T16 W: 0]",0.33
erdos-renyi,25,9,29.0,0.026802218114602587,0.9121996303142329,10,14,10,"[T7 W: 0, T18 W: 12.0, T21 W: 0]",0.33
erdos-renyi,25,9,28.0,0.02356902356902357,1.1456228956228955,10,16,10,"[T12 W: 0, T11 W: 16.0, T17 W: 0]",0.33
erdos-renyi,25,7,27.0,0.03103448275862069,0.967816091954023,16,14,16,"[T9 W: 0, T19 W: 17.0, T10 W: 0]",0.25
erdos-renyi,25,7,22.0,0.034482758620689655,0.9137931034482759,16,9,16,"[T5 W: 0, T14 W: 8.0, T6 W: 0]",0.25
erdos-renyi,25,7,26.0,0.031476997578692496,1.0338983050847457,16,13,16,"[T9 W: 0, T7 W: 16.0, T18 W: 0]",0.25
erdos-renyi,25,7,25.0,0.036231884057971016,1.0217391304347827,16,11,16,"[T4 W: 0, T15 W: 8.0, T12 W: 0]",0.25
erdos-renyi,25,7,27.0,0.031395348837209305,1.0651162790697675,16,14,16,"[T5 W: 0, T3 W: 9.0, T20 W: 0]",0.25
erdos-renyi,25,9,29.0,0.0259391771019678,1.227191413237925,16,18,16,"[T10 W: 0, T1 W: 17.0, T18 W: 0]",0.33
erdos-renyi,25,9,40.0,0.03454231433506045,1.0431778929188256,16,16,16,"[T15 W: 0, T5 W: 19.0, T23 W: 0]",0.33
erdos-renyi,25,9,27.0,0.022613065326633167,0.9991624790619765,16,13,16,"[T3 W: 0, T0 W: 9.0, T8 W: 0]",0.33
erdos-renyi,25,9,23.0,0.02090909090909091,0.8554545454545455,16,13,16,"[T1 W: 0, T0 W: 15.0, T14 W: 0]",0.33
erdos-renyi,25,9,25.0,0.02403846153846154,0.9788461538461538,16,14,16,"[T1 W: 0, T0 W: 17.0, T18 W: 0]",0.33
