graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
barabasi-albert,25,1,16.0,0.06666666666666667,1.3916666666666666,10,8,10,"[T2 W: 0, T24 W: 16.0]",1,egobalance
barabasi-albert,25,1,18.0,0.08737864077669903,1.4466019417475728,10,8,10,"[T2 W: 0, T20 W: 18.0]",1,egobalance
barabasi-albert,25,1,18.0,0.07258064516129033,1.4516129032258065,10,5,10,"[T2 W: 0, T10 W: 18.0]",1,egobalance
barabasi-albert,25,1,18.0,0.06923076923076923,1.5153846153846153,10,8,10,"[T11 W: 0, T20 W: 18.0]",1,egobalance
barabasi-albert,25,1,18.0,0.0703125,1.421875,10,5,10,"[T1 W: 0, T11 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.04128440366972477,1.4311926605504588,10,8,10,"[T1 W: 0, T23 W: 18.0]",2,egobalance
barabasi-albert,25,2,18.0,0.03501945525291829,1.490272373540856,10,9,10,"[T13 W: 0, T16 W: 18.0]",1,egobalance
barabasi-albert,25,2,16.0,0.03669724770642202,1.463302752293578,10,10,10,"[T0 W: 0, T22 W: 16.0]",1,egobalance
barabasi-albert,25,2,18.0,0.04090909090909091,1.3863636363636365,10,8,10,"[T1 W: 0, T3 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.03571428571428571,1.4246031746031746,10,9,10,"[T2 W: 0, T15 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.025714285714285714,1.3542857142857143,10,9,10,"[T1 W: 0, T13 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.02601156069364162,1.4479768786127167,10,10,10,"[T8 W: 0, T2 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.02786377708978328,1.4086687306501549,10,9,10,"[T3 W: 0, T22 W: 18.0]",1,egobalance
barabasi-albert,25,3,16.0,0.025,1.378125,10,8,10,"[T6 W: 0, T19 W: 16.0]",1,egobalance
barabasi-albert,25,3,18.0,0.028662420382165606,1.4394904458598725,10,10,10,"[T1 W: 0, T12 W: 18.0]",2,egobalance
barabasi-albert,25,4,24.0,0.030690537084398978,1.4936061381074168,10,10,10,"[T6 W: 0, T2 W: 2.0, T17 W: 11.0]",2,egobalance
barabasi-albert,25,4,18.0,0.02107728337236534,1.3840749414519906,10,10,10,"[T8 W: 0, T0 W: 18.0]",2,egobalance
barabasi-albert,25,4,30.0,0.04032258064516129,1.5161290322580645,10,10,10,"[T4 W: 0, T18 W: 12.0, T2 W: 9.0]",2,egobalance
barabasi-albert,25,4,18.0,0.023316062176165803,1.4119170984455958,10,11,10,"[T5 W: 0, T8 W: 18.0]",2,egobalance
barabasi-albert,25,4,18.0,0.020361990950226245,1.418552036199095,10,11,10,"[T15 W: 0, T0 W: 18.0]",2,egobalance
barabasi-albert,25,5,19.0,0.01873767258382643,1.418145956607495,10,11,10,"[T6 W: 0, T16 W: 5.0, T15 W: 7.0]",2,egobalance
barabasi-albert,25,5,34.0,0.03333333333333333,1.4470588235294117,10,13,10,"[T5 W: 0, T1 W: 14.0, T17 W: 10.0]",2,egobalance
barabasi-albert,25,5,23.0,0.02390852390852391,1.3492723492723493,10,11,10,"[T7 W: 0, T17 W: 3.0, T24 W: 10.0]",2,egobalance
barabasi-albert,25,5,19.0,0.019076305220883535,1.4176706827309238,10,13,10,"[T7 W: 0, T19 W: 3.0, T22 W: 8.0]",2,egobalance
barabasi-albert,25,5,23.0,0.02286282306163022,1.3618290258449304,10,11,10,"[T6 W: 0, T16 W: 10.0, T19 W: 4.0]",2,egobalance
barabasi-albert,25,6,22.0,0.019538188277087035,1.4298401420959148,10,13,10,"[T6 W: 0, T1 W: 12.0, T21 W: 5.0]",2,egobalance
barabasi-albert,25,6,38.0,0.03130148270181219,1.398682042833608,10,14,10,"[T10 W: 0, T21 W: 11.0, T18 W: 10.0]",2,egobalance
barabasi-albert,25,6,24.0,0.020654044750430294,1.3528399311531842,10,14,10,"[T9 W: 0, T13 W: 12.0, T5 W: 3.0]",2,egobalance
barabasi-albert,25,6,28.0,0.02460456942003515,1.421792618629174,10,12,10,"[T9 W: 0, T11 W: 10.0, T17 W: 9.0]",2,egobalance
barabasi-albert,25,6,24.0,0.021238938053097345,1.3610619469026548,10,13,10,"[T9 W: 0, T19 W: 6.0, T11 W: 9.0]",2,egobalance
barabasi-albert,25,7,32.0,0.02702702702702703,1.472972972972973,10,15,10,"[T8 W: 0, T20 W: 8.0, T0 W: 10.0]",2,egobalance
barabasi-albert,25,7,36.0,0.027906976744186046,1.3875968992248062,10,15,10,"[T7 W: 0, T3 W: 12.0, T24 W: 8.0]",2,egobalance
barabasi-albert,25,7,39.0,0.030279503105590064,1.4627329192546583,10,14,10,"[T7 W: 0, T18 W: 14.0, T20 W: 8.0]",2,egobalance
barabasi-albert,25,7,30.0,0.026362038664323375,1.4200351493848857,10,15,10,"[T7 W: 0, T18 W: 9.0, T5 W: 7.0]",2,egobalance
barabasi-albert,25,7,19.0,0.015754560530679935,1.341625207296849,10,15,10,"[T7 W: 0, T13 W: 5.0, T5 W: 7.0]",2,egobalance
barabasi-albert,25,8,38.0,0.027496382054992764,1.4688856729377713,10,15,10,"[T8 W: 0, T2 W: 10.0, T4 W: 14.0]",2,egobalance
barabasi-albert,25,8,33.0,0.024626865671641792,1.3925373134328358,10,17,10,"[T8 W: 0, T2 W: 8.0, T0 W: 10.0]",2,egobalance
barabasi-albert,25,8,31.0,0.022496371552975326,1.3584905660377358,10,16,10,"[T8 W: 0, T1 W: 12.0, T21 W: 8.0]",2,egobalance
barabasi-albert,25,8,37.0,0.02616690240452617,1.4483734087694484,10,15,10,"[T9 W: 0, T21 W: 15.0, T1 W: 11.0]",2,egobalance
barabasi-albert,25,8,32.0,0.025078369905956112,1.4827586206896552,10,15,10,"[T13 W: 0, T7 W: 9.0, T18 W: 10.0]",2,egobalance
barabasi-albert,25,9,32.0,0.02263083451202263,1.5487977369165489,10,17,10,"[T11 W: 0, T7 W: 7.0, T4 W: 11.0]",2,egobalance
barabasi-albert,25,9,39.0,0.02628032345013477,1.4838274932614555,10,16,10,"[T11 W: 0, T2 W: 15.0, T22 W: 12.0]",2,egobalance
barabasi-albert,25,9,37.0,0.02463382157123835,1.4633821571238348,10,17,10,"[T9 W: 0, T5 W: 11.0, T24 W: 13.0]",2,egobalance
barabasi-albert,25,9,27.0,0.01888111888111888,1.4,10,15,10,"[T13 W: 0, T22 W: 5.0, T2 W: 11.0]",2,egobalance
barabasi-albert,25,9,31.0,0.023273273273273273,1.4294294294294294,10,16,10,"[T10 W: 0, T0 W: 9.0, T6 W: 11.0]",2,egobalance
barabasi-albert,25,10,31.0,0.021678321678321677,1.4237762237762237,10,15,10,"[T10 W: 0, T23 W: 14.0, T21 W: 5.0]",2,egobalance
barabasi-albert,25,10,39.0,0.026244952893674293,1.4279946164199193,10,14,10,"[T12 W: 0, T2 W: 8.0, T23 W: 11.0]",2,egobalance
