graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
barabasi-albert,25,1,18.0,0.08823529411764706,1.4705882352941178,10,10,10,"[T11 W: 0, T19 W: 18.0]",2,original
barabasi-albert,25,1,18.0,0.07894736842105263,1.4298245614035088,10,6,10,"[T3 W: 0, T24 W: 18.0]",1,original
barabasi-albert,25,1,16.0,0.06722689075630252,1.4369747899159664,10,8,10,"[T0 W: 0, T19 W: 16.0]",1,original
barabasi-albert,25,1,18.0,0.07692307692307693,1.4102564102564104,10,6,10,"[T13 W: 0, T15 W: 18.0]",1,original
barabasi-albert,25,1,18.0,0.075,1.5166666666666666,10,9,10,"[T7 W: 0, T17 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.03879310344827586,1.418103448275862,10,9,10,"[T0 W: 0, T22 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.04,1.4622222222222223,10,8,10,"[T3 W: 0, T1 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.03862660944206009,1.48068669527897,10,8,10,"[T5 W: 0, T24 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.04712041884816754,1.4816753926701571,10,8,10,"[T13 W: 0, T17 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.04205607476635514,1.3925233644859814,10,7,10,"[T1 W: 0, T10 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.024657534246575342,1.473972602739726,10,10,10,"[T12 W: 0, T24 W: 18.0]",2,original
barabasi-albert,25,3,18.0,0.02564102564102564,1.433048433048433,10,9,10,"[T3 W: 0, T14 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.027439024390243903,1.4664634146341464,10,10,10,"[T5 W: 0, T24 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.027190332326283987,1.3595166163141994,10,8,10,"[T5 W: 0, T15 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.027950310559006212,1.434782608695652,10,10,10,"[T3 W: 0, T20 W: 18.0]",1,original
barabasi-albert,25,4,18.0,0.023076923076923078,1.4564102564102563,10,11,10,"[T10 W: 0, T20 W: 18.0]",2,original
barabasi-albert,25,4,18.0,0.023017902813299233,1.4398976982097187,10,10,10,"[T1 W: 0, T10 W: 18.0]",2,original
barabasi-albert,25,4,29.0,0.03372093023255814,1.427906976744186,10,10,10,"[T5 W: 0, T18 W: 7.0, T24 W: 11.0]",2,original
barabasi-albert,25,4,17.0,0.02009456264775414,1.3900709219858156,10,12,10,"[T6 W: 0, T22 W: 17.0]",2,original
barabasi-albert,25,4,18.0,0.02142857142857143,1.4214285714285715,10,11,10,"[T8 W: 0, T1 W: 18.0]",2,original
barabasi-albert,25,5,18.0,0.0189873417721519,1.3755274261603376,10,13,10,"[T5 W: 0, T22 W: 18.0]",2,original
barabasi-albert,25,5,27.0,0.02922077922077922,1.4675324675324675,10,12,10,"[T6 W: 0, T18 W: 11.0, T17 W: 8.0]",2,original
barabasi-albert,25,5,36.0,0.037037037037037035,1.4362139917695473,10,14,10,"[T6 W: 0, T21 W: 12.0, T23 W: 12.0]",2,original
barabasi-albert,25,5,18.0,0.018072289156626505,1.3614457831325302,10,12,10,"[T9 W: 0, T4 W: 18.0]",2,original
barabasi-albert,25,5,33.0,0.03241650294695481,1.4223968565815324,10,13,10,"[T6 W: 0, T17 W: 9.0, T2 W: 12.0]",2,original
barabasi-albert,25,6,33.0,0.02859618717504333,1.4315424610051992,10,13,10,"[T7 W: 0, T1 W: 7.0, T15 W: 13.0]",2,original
barabasi-albert,25,6,20.0,0.017513134851138354,1.4343257443082311,10,13,10,"[T6 W: 0, T21 W: 5.0, T0 W: 6.0]",2,original
barabasi-albert,25,6,24.0,0.021164021164021163,1.3721340388007055,10,12,10,"[T10 W: 0, T17 W: 14.0, T21 W: 3.0]",2,original
barabasi-albert,25,6,26.0,0.023172905525846704,1.4206773618538324,10,12,10,"[T6 W: 0, T3 W: 9.0, T16 W: 4.0]",2,original
barabasi-albert,25,6,37.0,0.03162393162393162,1.452991452991453,10,14,10,"[T8 W: 0, T16 W: 13.0, T18 W: 12.0]",2,original
barabasi-albert,25,7,35.0,0.027777777777777776,1.4047619047619047,10,14,10,"[T14 W: 0, T0 W: 7.0, T18 W: 14.0]",2,original
barabasi-albert,25,7,25.0,0.020833333333333332,1.3516666666666666,10,14,10,"[T11 W: 0, T18 W: 6.0, T3 W: 7.0]",2,original
barabasi-albert,25,7,23.0,0.019008264462809916,1.4396694214876034,10,14,10,"[T7 W: 0, T21 W: 5.0, T4 W: 9.0]",2,original
barabasi-albert,25,7,40.0,0.03115264797507788,1.4485981308411215,10,16,10,"[T8 W: 0, T5 W: 14.0, T1 W: 13.0]",2,original
barabasi-albert,25,7,40.0,0.02962962962962963,1.36,10,13,10,"[T9 W: 0, T5 W: 12.0, T4 W: 14.0]",2,original
barabasi-albert,25,8,41.0,0.029369627507163324,1.4369627507163323,10,16,10,"[T8 W: 0, T6 W: 16.0, T4 W: 12.0]",2,original
barabasi-albert,25,8,22.0,0.016717325227963525,1.3617021276595744,10,15,10,"[T15 W: 0, T23 W: 14.0]",2,original
barabasi-albert,25,8,34.0,0.024147727272727272,1.4204545454545454,10,15,10,"[T8 W: 0, T19 W: 12.0, T2 W: 6.0]",2,original
barabasi-albert,25,8,33.0,0.02412280701754386,1.4429824561403508,10,14,10,"[T8 W: 0, T20 W: 6.0, T23 W: 10.0]",2,original
barabasi-albert,25,8,40.0,0.02881844380403458,1.3976945244956773,10,15,10,"[T9 W: 0, T19 W: 14.0, T23 W: 13.0]",2,original
barabasi-albert,25,9,31.0,0.021708683473389355,1.4341736694677871,10,16,10,"[T9 W: 0, T0 W: 9.0, T1 W: 11.0]",2,original
barabasi-albert,25,9,41.0,0.02851182197496523,1.4075104311543811,10,15,10,"[T10 W: 0, T5 W: 15.0, T8 W: 13.0]",2,original
barabasi-albert,25,9,38.0,0.025745257452574527,1.4281842818428185,10,18,10,"[T9 W: 0, T6 W: 12.0, T0 W: 10.0]",2,original
barabasi-albert,25,9,29.0,0.021870286576168928,1.4570135746606334,10,16,10,"[T9 W: 0, T8 W: 13.0, T19 W: 8.0]",2,original
barabasi-albert,25,9,32.0,0.0226628895184136,1.3767705382436262,10,14,10,"[T15 W: 0, T8 W: 12.0, T1 W: 10.0]",2,original
barabasi-albert,25,10,35.0,0.02358490566037736,1.4528301886792452,10,14,10,"[T11 W: 0, T0 W: 11.0, T22 W: 11.0]",2,original
barabasi-albert,25,10,31.0,0.022017045454545456,1.4204545454545454,10,16,10,"[T11 W: 0, T8 W: 15.0, T24 W: 8.0]",2,original
barabasi-albert,25,10,35.0,0.024717514124293787,1.439265536723164,10,16,10,"[T18 W: 0, T5 W: 15.0, T21 W: 7.0]",2,original
barabasi-albert,25,10,40.0,0.025673940949935817,1.41591784338896,10,15,10,"[T20 W: 0, T9 W: 12.0, T24 W: 14.0]",2,original
barabasi-albert,25,10,32.0,0.02269503546099291,1.4397163120567376,10,19,10,"[T13 W: 0, T18 W: 10.0, T8 W: 7.0]",2,original
