graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
erdos-renyi,25,1,18.0,0.17647058823529413,2.0,10,2,10,"[N:T1,0,[], N:T4,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.13636363636363635,2.0,10,4,10,"[N:T3,0,[], N:T2,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.15,1.55,10,4,10,"[N:T12,0,[], N:T18,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.12857142857142856,1.5,10,5,10,"[N:T15,0,[], N:T14,18.0,[]]",1,bfs
erdos-renyi,25,1,30.0,0.13636363636363635,1.6636363636363636,10,4,10,"[N:T10,0,[], N:T14,30.0,[]]",1,bfs
erdos-renyi,25,2,18.0,0.09183673469387756,1.7142857142857142,10,4,10,"[N:T5,0,[], N:T16,18.0,[]]",1,bfs
erdos-renyi,25,2,22.0,0.12790697674418605,1.569767441860465,10,4,10,"[N:T17,0,[], N:T14,22.0,[]]",1,bfs
erdos-renyi,25,2,18.0,0.09183673469387756,1.6224489795918366,10,6,10,"[N:T1,0,[], N:T11,18.0,[]]",1,bfs
erdos-renyi,25,2,32.0,0.09937888198757763,1.6645962732919255,10,6,10,"[N:T8,0,[], N:T6,32.0,[]]",1,bfs
erdos-renyi,25,2,30.0,0.10204081632653061,1.5918367346938775,10,4,10,"[N:T10,0,[], N:T8,30.0,[]]",1,bfs
erdos-renyi,25,3,20.0,0.055865921787709494,1.8212290502793296,10,9,10,"[N:T4,0,[], N:T24,20.0,[]]",1,bfs
erdos-renyi,25,3,18.0,0.04639175257731959,1.4536082474226804,10,7,10,"[N:T18,0,[], N:T0,18.0,[]]",1,bfs
erdos-renyi,25,3,24.0,0.05128205128205128,1.7008547008547008,10,11,10,"[N:T5,0,[], N:T24,24.0,[]]",1,bfs
erdos-renyi,25,3,24.0,0.09022556390977443,1.6165413533834587,10,6,10,"[N:T23,0,[], N:T16,24.0,[]]",1,bfs
erdos-renyi,25,3,22.0,0.07432432432432433,1.6689189189189189,10,6,10,"[N:T1,0,[], N:T10,22.0,[]]",1,bfs
erdos-renyi,25,4,32.0,0.051118210862619806,1.4376996805111821,10,8,10,"[N:T6,0,[], N:T15,32.0,[]]",1,bfs
erdos-renyi,25,4,28.0,0.0639269406392694,1.5205479452054795,10,7,10,"[N:T10,0,[], N:T2,28.0,[]]",1,bfs
erdos-renyi,25,4,32.0,0.060836501901140684,1.520912547528517,10,8,10,"[N:T14,0,[], N:T11,32.0,[]]",1,bfs
erdos-renyi,25,4,28.0,0.07692307692307693,1.401098901098901,10,6,10,"[N:T4,0,[], N:T15,28.0,[]]",1,bfs
erdos-renyi,25,4,18.0,0.05202312138728324,1.4855491329479769,10,7,10,"[N:T3,0,[], N:T23,18.0,[]]",1,bfs
erdos-renyi,25,5,24.0,0.04240282685512368,1.2897526501766785,10,8,10,"[N:T16,0,[], N:T4,24.0,[]]",1,bfs
erdos-renyi,25,5,30.0,0.049019607843137254,1.457516339869281,10,8,10,"[N:T2,0,[], N:T21,30.0,[]]",1,bfs
erdos-renyi,25,5,22.0,0.04059040590405904,1.3911439114391144,10,8,10,"[N:T23,0,[], N:T6,22.0,[]]",1,bfs
erdos-renyi,25,5,36.0,0.054878048780487805,1.4329268292682926,10,9,10,"[N:T14,0,[], N:T20,36.0,[]]",1,bfs
erdos-renyi,25,5,30.0,0.053763440860215055,1.5161290322580645,10,9,10,"[N:T13,0,[], N:T9,30.0,[]]",1,bfs
erdos-renyi,25,6,36.0,0.05172413793103448,1.4195402298850575,10,9,10,"[N:T14,0,[], N:T19,36.0,[]]",1,bfs
erdos-renyi,25,6,32.0,0.047337278106508875,1.4230769230769231,10,9,10,"[N:T19,0,[], N:T24,32.0,[]]",1,bfs
erdos-renyi,25,6,24.0,0.03488372093023256,1.4244186046511629,10,9,10,"[N:T2,0,[], N:T6,24.0,[]]",1,bfs
erdos-renyi,25,6,34.0,0.04871060171919771,1.33810888252149,10,10,10,"[N:T12,0,[], N:T2,34.0,[]]",1,bfs
erdos-renyi,25,6,34.0,0.04582210242587601,1.4231805929919137,10,10,10,"[N:T15,0,[], N:T22,34.0,[]]",1,bfs
erdos-renyi,25,7,30.0,0.033482142857142856,1.484375,10,13,10,"[N:T15,0,[], N:T1,30.0,[]]",1,bfs
erdos-renyi,25,7,34.0,0.04271356783919598,1.4246231155778895,10,13,10,"[N:T1,0,[], N:T16,34.0,[]]",1,bfs
erdos-renyi,25,7,28.0,0.03674540682414698,1.3175853018372703,10,10,10,"[N:T7,0,[], N:T24,28.0,[]]",1,bfs
erdos-renyi,25,7,30.0,0.044642857142857144,1.5595238095238095,10,12,10,"[N:T3,0,[], N:T10,30.0,[]]",1,bfs
erdos-renyi,25,7,30.0,0.03875968992248062,1.37984496124031,10,11,10,"[N:T4,0,[], N:T19,30.0,[]]",1,bfs
erdos-renyi,25,8,30.0,0.031185031185031187,1.3534303534303533,10,12,10,"[N:T6,0,[], N:T17,30.0,[]]",1,bfs
erdos-renyi,25,8,36.0,0.039473684210526314,1.4100877192982457,10,14,10,"[N:T18,0,[], N:T6,36.0,[]]",1,bfs
erdos-renyi,25,8,28.0,0.030501089324618737,1.2679738562091503,10,12,10,"[N:T12,0,[], N:T18,28.0,[]]",1,bfs
erdos-renyi,25,8,36.0,0.03345724907063197,1.2899628252788105,10,12,10,"[N:T11,0,[], N:T4,36.0,[]]",1,bfs
erdos-renyi,25,8,30.0,0.030364372469635626,1.3319838056680162,10,12,10,"[N:T23,0,[], N:T17,30.0,[]]",1,bfs
erdos-renyi,25,9,36.0,0.036885245901639344,1.4426229508196722,10,13,10,"[N:T10,0,[], N:T21,36.0,[]]",2,bfs
erdos-renyi,25,9,36.0,0.03550295857988166,1.418145956607495,10,14,10,"[N:T12,0,[], N:T8,34.0,[]]",1,bfs
erdos-renyi,25,9,34.0,0.029668411867364748,1.3944153577661431,10,13,10,"[N:T12,0,[], N:T8,34.0,[]]",1,bfs
erdos-renyi,25,9,40.0,0.0425531914893617,1.5680851063829788,10,15,10,"[N:T24,0,[], N:T5,40.0,[]]",1,bfs
erdos-renyi,25,9,36.0,0.03214285714285714,1.3035714285714286,10,12,10,"[N:T1,0,[], N:T19,32.0,[]]",1,bfs
erdos-renyi,25,10,36.0,0.03302752293577982,1.3596330275229358,10,15,10,"[N:T3,0,[], N:T7,36.0,[]]",2,bfs
erdos-renyi,25,10,34.0,0.03339882121807466,1.2927308447937131,10,13,10,"[N:T1,0,[], N:T15,34.0,[]]",1,bfs
erdos-renyi,25,10,30.0,0.030737704918032786,1.3381147540983607,10,12,10,"[N:T18,0,[], N:T3,30.0,[]]",1,bfs
erdos-renyi,25,10,40.0,0.035211267605633804,1.3327464788732395,10,15,10,"[N:T19,0,[], N:T24,34.0,[], N:T3,2.0,[]]",2,bfs
erdos-renyi,25,10,34.0,0.02847571189279732,1.3417085427135678,10,15,10,"[N:T1,0,[], N:T5,34.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.09574468085106383,1.6808510638297873,16,4,16,"[N:T1,0,[], N:T11,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.09183673469387756,1.7755102040816326,16,5,16,"[N:T6,0,[], N:T4,18.0,[]]",1,bfs
erdos-renyi,25,1,32.0,0.17204301075268819,1.6451612903225807,16,3,16,"[N:T20,0,[], N:T11,32.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.15789473684210525,2.0,16,4,16,"[N:T9,0,[], N:T16,18.0,[]]",1,bfs
