graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
erdos-renyi,25,1,9.0,0.07758620689655173,2.0,10,4,10,"[T20 W: 0, T0 W: 9.0]",1,original
erdos-renyi,25,1,8.0,0.12121212121212122,2.0,10,2,10,"[T0 W: 0, T2 W: 8.0]",1,original
erdos-renyi,25,1,9.0,0.08035714285714286,2.0,10,4,10,"[T4 W: 0, T10 W: 9.0]",1,original
erdos-renyi,25,1,16.0,0.13793103448275862,1.5517241379310345,10,3,10,"[T9 W: 0, T13 W: 16.0]",1,original
erdos-renyi,25,1,8.0,0.08,2.0,10,3,10,"[T1 W: 0, T0 W: 8.0]",1,original
erdos-renyi,25,2,17.0,0.07327586206896551,1.7758620689655173,10,7,10,"[T19 W: 0, T16 W: 17.0]",1,original
erdos-renyi,25,2,16.0,0.08,1.53,10,4,10,"[T13 W: 0, T22 W: 16.0]",1,original
erdos-renyi,25,2,14.0,0.04046242774566474,1.5953757225433527,10,6,10,"[T8 W: 0, T15 W: 14.0]",1,original
erdos-renyi,25,2,18.0,0.057692307692307696,1.5961538461538463,10,5,10,"[T19 W: 0, T17 W: 18.0]",1,original
erdos-renyi,25,2,18.0,0.0661764705882353,1.5514705882352942,10,6,10,"[T13 W: 0, T2 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.04205607476635514,1.5467289719626167,10,6,10,"[T22 W: 0, T7 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.04035874439461883,1.3946188340807175,10,7,10,"[T10 W: 0, T3 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.054878048780487805,1.4390243902439024,10,5,10,"[T4 W: 0, T22 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.04326923076923077,1.375,10,6,10,"[T2 W: 0, T7 W: 18.0]",1,original
erdos-renyi,25,3,10.0,0.03875968992248062,1.697674418604651,10,5,10,"[T9 W: 0, T16 W: 10.0]",1,original
erdos-renyi,25,4,18.0,0.036,1.48,10,9,10,"[T10 W: 0, T2 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.041666666666666664,1.5555555555555556,10,8,10,"[T10 W: 0, T11 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.03409090909090909,1.5416666666666667,10,8,10,"[T15 W: 0, T6 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.033962264150943396,1.4226415094339622,10,7,10,"[T6 W: 0, T9 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.02786377708978328,1.4736842105263157,10,9,10,"[T20 W: 0, T10 W: 18.0]",1,original
erdos-renyi,25,5,18.0,0.033582089552238806,1.4701492537313432,10,7,10,"[T10 W: 0, T1 W: 18.0]",1,original
erdos-renyi,25,5,18.0,0.04186046511627907,1.4046511627906977,10,7,10,"[T15 W: 0, T10 W: 18.0]",1,original
erdos-renyi,25,5,18.0,0.029508196721311476,1.6459016393442623,10,15,10,"[T12 W: 0, T7 W: 18.0]",1,original
erdos-renyi,25,5,18.0,0.030612244897959183,1.4557823129251701,10,8,10,"[T9 W: 0, T17 W: 18.0]",1,original
erdos-renyi,25,5,18.0,0.04326923076923077,1.5576923076923077,10,9,10,"[T14 W: 0, T18 W: 18.0]",1,original
erdos-renyi,25,6,18.0,0.026785714285714284,1.3839285714285714,10,10,10,"[T10 W: 0, T0 W: 18.0]",1,original
erdos-renyi,25,6,17.0,0.022727272727272728,1.5641711229946524,10,13,10,"[T2 W: 0, T9 W: 17.0]",1,original
erdos-renyi,25,6,17.0,0.02514792899408284,1.4437869822485208,10,10,10,"[T23 W: 0, T3 W: 17.0]",1,original
erdos-renyi,25,6,18.0,0.022004889975550123,1.2689486552567237,10,10,10,"[T1 W: 0, T22 W: 18.0]",1,original
erdos-renyi,25,6,18.0,0.02586206896551724,1.3017241379310345,10,9,10,"[T19 W: 0, T0 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.02027027027027027,1.3063063063063063,10,10,10,"[T12 W: 0, T1 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.024193548387096774,1.2634408602150538,10,10,10,"[T11 W: 0, T21 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.01956521739130435,1.3717391304347826,10,11,10,"[T0 W: 0, T12 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.024,1.328,10,12,10,"[T1 W: 0, T2 W: 18.0]",1,original
erdos-renyi,25,7,19.0,0.02540106951871658,1.4705882352941178,10,9,10,"[T8 W: 0, T0 W: 5.0, T10 W: 7.0]",2,original
erdos-renyi,25,8,18.0,0.017928286852589643,1.3067729083665338,10,12,10,"[T2 W: 0, T4 W: 18.0]",1,original
erdos-renyi,25,8,18.0,0.016304347826086956,1.2463768115942029,10,12,10,"[T23 W: 0, T1 W: 18.0]",1,original
erdos-renyi,25,8,17.0,0.018201284796573874,1.5246252676659529,10,16,10,"[T18 W: 0, T21 W: 17.0]",1,original
erdos-renyi,25,8,18.0,0.01939655172413793,1.3879310344827587,10,14,10,"[T5 W: 0, T19 W: 18.0]",2,original
erdos-renyi,25,8,18.0,0.01818181818181818,1.4343434343434343,10,14,10,"[T3 W: 0, T14 W: 18.0]",1,original
erdos-renyi,25,9,18.0,0.01615798922800718,1.341113105924596,10,14,10,"[T1 W: 0, T3 W: 18.0]",1,original
erdos-renyi,25,9,18.0,0.016885553470919325,1.4765478424015008,10,18,10,"[T0 W: 0, T16 W: 18.0]",1,original
erdos-renyi,25,9,18.0,0.01910828025477707,1.3418259023354564,10,12,10,"[T1 W: 0, T21 W: 18.0]",1,original
erdos-renyi,25,9,18.0,0.01607142857142857,1.4696428571428573,10,16,10,"[T7 W: 0, T14 W: 18.0]",1,original
erdos-renyi,25,9,20.0,0.016778523489932886,1.3573825503355705,10,16,10,"[T17 W: 0, T3 W: 10.0, T12 W: 5.0]",2,original
erdos-renyi,25,10,18.0,0.01675977653631285,1.297951582867784,10,12,10,"[T7 W: 0, T18 W: 18.0]",2,original
erdos-renyi,25,10,18.0,0.015817223198594025,1.358523725834798,10,15,10,"[T23 W: 0, T19 W: 18.0]",2,original
erdos-renyi,25,10,29.0,0.024451939291736932,1.4080944350758853,10,15,10,"[T23 W: 0, T24 W: 9.0, T12 W: 10.0]",2,original
erdos-renyi,25,10,18.0,0.015410958904109588,1.3544520547945205,10,13,10,"[T1 W: 0, T18 W: 18.0]",2,original
erdos-renyi,25,10,18.0,0.015957446808510637,1.3138297872340425,10,16,10,"[T17 W: 0, T0 W: 18.0]",2,original
erdos-renyi,25,1,8.0,0.08,2.0,16,3,16,"[T4 W: 0, T8 W: 8.0]",1,original
erdos-renyi,25,1,18.0,0.08571428571428572,1.5904761904761904,16,4,16,"[T5 W: 0, T11 W: 18.0]",1,original
erdos-renyi,25,1,9.0,0.09,2.0,16,4,16,"[T5 W: 0, T7 W: 9.0]",1,original
erdos-renyi,25,1,14.0,0.07216494845360824,1.711340206185567,16,4,16,"[T14 W: 0, T20 W: 14.0]",1,original
erdos-renyi,25,1,18.0,0.07086614173228346,1.6929133858267718,16,5,16,"[T21 W: 0, T16 W: 18.0]",1,original
erdos-renyi,25,2,18.0,0.0782608695652174,1.5130434782608695,16,4,16,"[T7 W: 0, T22 W: 18.0]",1,original
erdos-renyi,25,2,14.0,0.056451612903225805,1.6451612903225807,16,5,16,"[T19 W: 0, T17 W: 14.0]",1,original
erdos-renyi,25,2,14.0,0.06306306306306306,1.8108108108108107,16,5,16,"[T8 W: 0, T16 W: 14.0]",1,original
erdos-renyi,25,2,18.0,0.07317073170731707,1.5772357723577235,16,4,16,"[T17 W: 0, T16 W: 18.0]",1,original
erdos-renyi,25,2,16.0,0.05925925925925926,1.5555555555555556,16,4,16,"[T4 W: 0, T16 W: 16.0]",1,original
erdos-renyi,25,3,18.0,0.04712041884816754,1.4816753926701571,16,6,16,"[T6 W: 0, T18 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.05232558139534884,1.4244186046511629,16,5,16,"[T13 W: 0, T21 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.04918032786885246,1.6994535519125684,16,6,16,"[T1 W: 0, T3 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.05,1.4666666666666666,16,7,16,"[T10 W: 0, T6 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.0481283422459893,1.4385026737967914,16,6,16,"[T22 W: 0, T4 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.038461538461538464,1.5042735042735043,16,8,16,"[T11 W: 0, T2 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.04390243902439024,1.473170731707317,16,7,16,"[T2 W: 0, T8 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.04035874439461883,1.4170403587443947,16,8,16,"[T9 W: 0, T22 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.03474903474903475,1.505791505791506,16,7,16,"[T20 W: 0, T9 W: 18.0]",1,original
erdos-renyi,25,4,18.0,0.03272727272727273,1.3636363636363635,16,8,16,"[T3 W: 0, T4 W: 18.0]",1,original
erdos-renyi,25,5,16.0,0.03162055335968379,1.3952569169960474,16,7,16,"[T14 W: 0, T6 W: 16.0]",1,original
erdos-renyi,25,5,18.0,0.02710843373493976,1.3734939759036144,16,8,16,"[T2 W: 0, T23 W: 18.0]",1,original
erdos-renyi,25,5,16.0,0.024922118380062305,1.4143302180685358,16,9,16,"[T0 W: 0, T11 W: 16.0]",1,original
erdos-renyi,25,5,18.0,0.024657534246575342,1.4273972602739726,16,11,16,"[T1 W: 0, T17 W: 18.0]",1,original
erdos-renyi,25,5,18.0,0.02821316614420063,1.401253918495298,16,9,16,"[T10 W: 0, T14 W: 18.0]",1,original
erdos-renyi,25,6,18.0,0.023017902813299233,1.434782608695652,16,10,16,"[T9 W: 0, T0 W: 18.0]",1,original
erdos-renyi,25,6,18.0,0.029411764705882353,1.4379084967320261,16,9,16,"[T3 W: 0, T12 W: 18.0]",1,original
erdos-renyi,25,6,18.0,0.023195876288659795,1.5,16,12,16,"[T2 W: 0, T24 W: 18.0]",1,original
erdos-renyi,25,6,18.0,0.028481012658227847,1.3322784810126582,16,9,16,"[T1 W: 0, T7 W: 18.0]",1,original
erdos-renyi,25,6,18.0,0.02702702702702703,1.6756756756756757,16,14,16,"[T4 W: 0, T0 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.023622047244094488,1.304461942257218,16,9,16,"[T0 W: 0, T22 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.025495750708215296,1.3739376770538243,16,9,16,"[T3 W: 0, T16 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.020179372197309416,1.452914798206278,16,12,16,"[T3 W: 0, T10 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.02349869451697128,1.514360313315927,16,12,16,"[T22 W: 0, T1 W: 18.0]",1,original
erdos-renyi,25,7,18.0,0.023195876288659795,1.3402061855670102,16,10,16,"[T6 W: 0, T7 W: 18.0]",1,original
erdos-renyi,25,8,18.0,0.016100178890876567,1.293381037567084,16,12,16,"[T0 W: 0, T7 W: 18.0]",1,original
erdos-renyi,25,8,18.0,0.020930232558139535,1.416279069767442,16,11,16,"[T3 W: 0, T7 W: 18.0]",1,original
erdos-renyi,25,8,18.0,0.018907563025210083,1.531512605042017,16,15,16,"[T5 W: 0, T12 W: 18.0]",1,original
erdos-renyi,25,8,18.0,0.01768172888015717,1.3477406679764243,16,12,16,"[T14 W: 0, T1 W: 18.0]",1,original
erdos-renyi,25,8,18.0,0.018442622950819672,1.415983606557377,16,12,16,"[T15 W: 0, T0 W: 18.0]",1,original
erdos-renyi,25,9,18.0,0.018108651911468814,1.3983903420523138,16,13,16,"[T15 W: 0, T0 W: 18.0]",1,original
erdos-renyi,25,9,18.0,0.01601423487544484,1.3149466192170818,16,13,16,"[T3 W: 0, T8 W: 18.0]",1,original
erdos-renyi,25,9,18.0,0.01651376146788991,1.363302752293578,16,13,16,"[T2 W: 0, T13 W: 18.0]",1,original
erdos-renyi,25,9,16.0,0.016701461377870562,1.3340292275574113,16,12,16,"[T1 W: 0, T22 W: 16.0]",1,original
erdos-renyi,25,9,18.0,0.02054794520547945,1.417808219178082,16,13,16,"[T7 W: 0, T23 W: 18.0]",1,original
erdos-renyi,25,10,18.0,0.016822429906542057,1.3738317757009346,16,13,16,"[T16 W: 0, T2 W: 18.0]",1,original
erdos-renyi,25,10,18.0,0.015463917525773196,1.3058419243986255,16,14,16,"[T2 W: 0, T1 W: 18.0]",1,original
erdos-renyi,25,10,17.0,0.013731825525040387,1.54281098546042,16,19,16,"[T15 W: 0, T11 W: 17.0]",1,original
erdos-renyi,25,10,18.0,0.015437392795883362,1.3756432246998285,16,14,16,"[T5 W: 0, T9 W: 18.0]",1,original
erdos-renyi,25,10,18.0,0.015817223198594025,1.3198594024604569,16,13,16,"[T18 W: 0, T5 W: 18.0]",1,original
erdos-renyi,25,1,4.0,0.1,2.0,24,3,24,"[T4 W: 0, T1 W: 4.0]",1,original
erdos-renyi,25,1,9.0,0.15517241379310345,2.0,24,2,24,"[T15 W: 0, T4 W: 9.0]",1,original
erdos-renyi,25,1,9.0,0.10227272727272728,2.0,24,2,24,"[T14 W: 0, T9 W: 9.0]",1,original
erdos-renyi,25,1,9.0,0.09,2.0,24,2,24,"[T0 W: 0, T6 W: 9.0]",1,original
erdos-renyi,25,1,18.0,0.13043478260869565,1.6666666666666667,24,4,24,"[T0 W: 0, T19 W: 18.0]",1,original
erdos-renyi,25,2,18.0,0.1,1.4,24,3,24,"[T18 W: 0, T9 W: 18.0]",1,original
erdos-renyi,25,2,18.0,0.06569343065693431,1.5255474452554745,24,5,24,"[T15 W: 0, T21 W: 18.0]",1,original
erdos-renyi,25,2,18.0,0.05732484076433121,1.535031847133758,24,7,24,"[T5 W: 0, T17 W: 18.0]",1,original
erdos-renyi,25,2,18.0,0.08181818181818182,1.8,24,6,24,"[T1 W: 0, T3 W: 18.0]",1,original
erdos-renyi,25,2,18.0,0.05232558139534884,1.5465116279069768,24,6,24,"[T14 W: 0, T0 W: 18.0]",1,original
erdos-renyi,25,3,18.0,0.06040268456375839,1.523489932885906,24,5,24,"[T0 W: 0, T13 W: 18.0]",1,original
