graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,18.0,0.11688311688311688,1.5454545454545454,10,3,10,"[N:T7,0,[], N:T23,18.0,[]]",bfs
erdos-renyi,25,1,16.0,0.15384615384615385,2.0,10,3,10,"[N:T5,0,[], N:T1,16.0,[]]",bfs
erdos-renyi,25,1,22.0,0.16417910447761194,1.7164179104477613,10,3,10,"[N:T22,0,[], N:T16,22.0,[]]",bfs
erdos-renyi,25,1,18.0,0.14285714285714285,1.619047619047619,10,4,10,"[N:T10,0,[], N:T23,18.0,[]]",bfs
erdos-renyi,25,1,20.0,0.15384615384615385,1.7230769230769232,10,5,10,"[N:T23,0,[], N:T10,20.0,[]]",bfs
erdos-renyi,25,2,18.0,0.05625,1.475,10,4,10,"[N:T5,0,[], N:T3,18.0,[]]",bfs
erdos-renyi,25,2,18.0,0.07894736842105263,1.6578947368421053,10,5,10,"[N:T8,0,[], N:T23,18.0,[]]",bfs
erdos-renyi,25,2,26.0,0.17333333333333334,1.52,10,3,10,"[N:T21,0,[], N:T15,26.0,[]]",bfs
erdos-renyi,25,2,18.0,0.09375,1.5625,10,5,10,"[N:T2,0,[], N:T18,18.0,[]]",bfs
erdos-renyi,25,2,18.0,0.07377049180327869,1.6967213114754098,10,5,10,"[N:T14,0,[], N:T9,18.0,[]]",bfs
erdos-renyi,25,3,20.0,0.060240963855421686,1.6626506024096386,10,7,10,"[N:T21,0,[], N:T9,20.0,[]]",bfs
erdos-renyi,25,3,36.0,0.11320754716981132,1.5471698113207548,10,6,10,"[N:T1,0,[], N:T18,36.0,[]]",bfs
erdos-renyi,25,3,28.0,0.07608695652173914,1.3695652173913044,10,7,10,"[N:T16,0,[], N:T2,28.0,[]]",bfs
erdos-renyi,25,3,18.0,0.06338028169014084,1.3732394366197183,10,5,10,"[N:T1,0,[], N:T4,18.0,[]]",bfs
erdos-renyi,25,3,32.0,0.0903954802259887,1.497175141242938,10,6,10,"[N:T4,0,[], N:T19,32.0,[]]",bfs
erdos-renyi,25,4,32.0,0.054982817869415807,1.4261168384879725,10,7,10,"[N:T9,0,[], N:T20,32.0,[]]",bfs
erdos-renyi,25,4,34.0,0.050445103857566766,1.4065281899109792,10,9,10,"[N:T0,0,[], N:T13,34.0,[]]",bfs
erdos-renyi,25,4,30.0,0.06276150627615062,1.5439330543933054,10,9,10,"[N:T23,0,[], N:T21,30.0,[]]",bfs
erdos-renyi,25,4,18.0,0.04891304347826087,1.4293478260869565,10,6,10,"[N:T1,0,[], N:T9,18.0,[]]",bfs
erdos-renyi,25,4,28.0,0.06334841628959276,1.5475113122171946,10,8,10,"[N:T18,0,[], N:T14,28.0,[]]",bfs
erdos-renyi,25,5,36.0,0.05217391304347826,1.3536231884057972,10,8,10,"[N:T9,0,[], N:T20,36.0,[]]",bfs
erdos-renyi,25,5,24.0,0.0375,1.528125,10,10,10,"[N:T11,0,[], N:T1,24.0,[]]",bfs
erdos-renyi,25,5,36.0,0.0547112462006079,1.4559270516717324,10,8,10,"[N:T17,0,[], N:T8,36.0,[]]",bfs
erdos-renyi,25,5,32.0,0.051118210862619806,1.4568690095846646,10,8,10,"[N:T21,0,[], N:T0,32.0,[]]",bfs
erdos-renyi,25,5,34.0,0.04722222222222222,1.386111111111111,10,8,10,"[N:T5,0,[], N:T20,34.0,[]]",bfs
erdos-renyi,25,6,34.0,0.049707602339181284,1.4298245614035088,10,11,10,"[N:T9,0,[], N:T14,34.0,[]]",bfs
erdos-renyi,25,6,34.0,0.04218362282878412,1.347394540942928,10,10,10,"[N:T1,0,[], N:T16,34.0,[]]",bfs
erdos-renyi,25,6,32.0,0.0431266846361186,1.4339622641509433,10,11,10,"[N:T3,0,[], N:T10,32.0,[]]",bfs
erdos-renyi,25,6,28.0,0.040697674418604654,1.3575581395348837,10,10,10,"[N:T8,0,[], N:T18,28.0,[]]",bfs
erdos-renyi,25,6,30.0,0.03926701570680628,1.3324607329842932,10,10,10,"[N:T2,0,[], N:T11,30.0,[]]",bfs
erdos-renyi,25,7,32.0,0.039603960396039604,1.368811881188119,10,12,10,"[N:T6,0,[], N:T5,32.0,[]]",bfs
erdos-renyi,25,7,36.0,0.03821656050955414,1.3418259023354564,10,11,10,"[N:T0,0,[], N:T18,36.0,[]]",bfs
erdos-renyi,25,7,30.0,0.035211267605633804,1.323943661971831,10,12,10,"[N:T7,0,[], N:T1,30.0,[]]",bfs
erdos-renyi,25,7,32.0,0.038929440389294405,1.364963503649635,10,10,10,"[N:T7,0,[], N:T22,32.0,[]]",bfs
erdos-renyi,25,7,32.0,0.0427807486631016,1.4946524064171123,10,13,10,"[N:T23,0,[], N:T13,32.0,[]]",bfs
erdos-renyi,25,8,36.0,0.03383458646616541,1.4924812030075187,10,13,10,"[N:T15,0,[], N:T7,36.0,[]]",bfs
erdos-renyi,25,8,34.0,0.03288201160541586,1.4042553191489362,10,11,10,"[N:T1,0,[], N:T16,34.0,[]]",bfs
erdos-renyi,25,8,34.0,0.03353057199211045,1.3136094674556213,10,12,10,"[N:T9,0,[], N:T11,34.0,[]]",bfs
erdos-renyi,25,8,36.0,0.03592814371257485,1.3333333333333333,10,12,10,"[N:T2,0,[], N:T15,36.0,[]]",bfs
erdos-renyi,25,8,28.0,0.03076923076923077,1.3186813186813187,10,11,10,"[N:T19,0,[], N:T11,24.0,[], N:T18,2.0,[]]",bfs
erdos-renyi,25,9,36.0,0.033210332103321034,1.2878228782287824,10,12,10,"[N:T10,0,[], N:T6,28.0,[], N:T7,4.0,[]]",bfs
