graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,9.0,0.0703125,2.0,10,4,10,"[T0 W: 0, T8 W: 9.0]",egobalance
erdos-renyi,25,1,18.0,0.1232876712328767,1.643835616438356,10,5,10,"[T0 W: 0, T11 W: 18.0]",egobalance
erdos-renyi,25,1,9.0,0.15,2.0,10,2,10,"[T2 W: 0, T9 W: 9.0]",egobalance
erdos-renyi,25,1,8.0,0.1,2.0,10,3,10,"[T7 W: 0, T11 W: 8.0]",egobalance
erdos-renyi,25,1,9.0,0.08035714285714286,2.0,10,4,10,"[T0 W: 0, T2 W: 9.0]",egobalance
erdos-renyi,25,2,8.0,0.043010752688172046,1.913978494623656,10,5,10,"[T1 W: 0, T9 W: 8.0]",egobalance
erdos-renyi,25,2,18.0,0.08035714285714286,1.625,10,4,10,"[T7 W: 0, T10 W: 18.0]",egobalance
erdos-renyi,25,2,16.0,0.0784313725490196,1.6470588235294117,10,5,10,"[T15 W: 0, T21 W: 16.0]",egobalance
erdos-renyi,25,2,18.0,0.060810810810810814,1.2972972972972974,10,4,10,"[T1 W: 0, T4 W: 18.0]",egobalance
erdos-renyi,25,2,18.0,0.0703125,1.7890625,10,7,10,"[T19 W: 0, T18 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.08181818181818182,1.6636363636363636,10,4,10,"[T17 W: 0, T22 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.038135593220338986,1.3516949152542372,10,5,10,"[T24 W: 0, T2 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.08035714285714286,1.3482142857142858,10,4,10,"[T3 W: 0, T13 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.07142857142857142,1.3095238095238095,10,5,10,"[T3 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.04090909090909091,1.5772727272727274,10,7,10,"[T2 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.03501945525291829,1.4941634241245136,10,8,10,"[T3 W: 0, T8 W: 18.0]",egobalance
erdos-renyi,25,4,16.0,0.028268551236749116,1.5441696113074206,10,9,10,"[T2 W: 0, T12 W: 16.0]",egobalance
erdos-renyi,25,4,18.0,0.030716723549488054,1.47098976109215,10,9,10,"[T11 W: 0, T2 W: 18.0]",egobalance
erdos-renyi,25,4,16.0,0.037914691943127965,1.5497630331753554,10,8,10,"[T22 W: 0, T0 W: 16.0]",egobalance
erdos-renyi,25,4,18.0,0.028938906752411574,1.414790996784566,10,8,10,"[T1 W: 0, T18 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.025787965616045846,1.3696275071633237,10,9,10,"[T6 W: 0, T10 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.024456521739130436,1.3940217391304348,10,9,10,"[T14 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.027607361963190184,1.4202453987730062,10,8,10,"[T5 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.035856573705179286,1.4103585657370519,10,8,10,"[T1 W: 0, T17 W: 18.0]",egobalance
erdos-renyi,25,5,16.0,0.028268551236749116,1.6501766784452296,10,11,10,"[T3 W: 0, T2 W: 16.0]",egobalance
erdos-renyi,25,6,18.0,0.023255813953488372,1.483204134366925,10,12,10,"[T22 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.02616279069767442,1.572674418604651,10,13,10,"[T10 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.025936599423631124,1.4322766570605188,10,9,10,"[T15 W: 0, T16 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.024793388429752067,1.534435261707989,10,13,10,"[T3 W: 0, T12 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.020594965675057208,1.3958810068649885,10,10,10,"[T0 W: 0, T20 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.01978021978021978,1.323076923076923,10,11,10,"[T2 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02040816326530612,1.4512471655328798,10,12,10,"[T9 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02027027027027027,1.4166666666666667,10,12,10,"[T7 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02127659574468085,1.4278959810874705,10,11,10,"[T18 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02127659574468085,1.3238770685579195,10,11,10,"[T3 W: 0, T22 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.01935483870967742,1.3483870967741935,10,11,10,"[T0 W: 0, T17 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.01956521739130435,1.315217391304348,10,11,10,"[T2 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.017964071856287425,1.379241516966068,10,12,10,"[T1 W: 0, T22 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.016791044776119403,1.3526119402985075,10,12,10,"[T15 W: 0, T5 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.019693654266958426,1.323851203501094,10,11,10,"[T2 W: 0, T24 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.016981132075471698,1.3226415094339623,10,11,10,"[T9 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.015957446808510637,1.2695035460992907,10,13,10,"[T1 W: 0, T13 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.015901060070671377,1.3657243816254416,10,14,10,"[T6 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,9,28.0,0.02190923317683881,1.3708920187793427,10,13,10,"[T15 W: 0, T7 W: 6.0, T1 W: 11.0]",egobalance
erdos-renyi,25,9,18.0,0.017110266159695818,1.5570342205323193,10,19,10,"[T23 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,10,20.0,0.017271157167530225,1.3402417962003454,10,15,10,"[T2 W: 0, T3 W: 5.0, T21 W: 5.0]",egobalance
