graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,18.0,0.20930232558139536,2.0,10,2,10,"[N:T6,0,[], N:T10,18.0,[]]",huffman
erdos-renyi,25,1,18.0,0.15254237288135594,2.0,10,4,10,"[N:T0,0,[], N:T10,18.0,[]]",huffman
erdos-renyi,25,1,18.0,0.21951219512195122,2.0,10,3,10,"[N:T7,0,[], N:T12,18.0,[]]",huffman
erdos-renyi,25,1,8.0,0.3076923076923077,2.0,10,2,10,"[N:T0,0,[], N:T7,8.0,[]]",huffman
erdos-renyi,25,1,18.0,0.1836734693877551,2.0,10,4,10,"[N:T13,0,[], N:T0,18.0,[]]",huffman
erdos-renyi,25,2,22.0,0.054455445544554455,1.4455445544554455,10,6,10,"[N:T4,0,[], N:T3,22.0,[]]",huffman
erdos-renyi,25,2,30.0,0.10273972602739725,1.4657534246575343,10,6,10,"[N:T16,0,[], N:T17,30.0,[]]",huffman
erdos-renyi,25,2,18.0,0.09473684210526316,1.6736842105263159,10,4,10,"[N:T1,0,[], N:T3,18.0,[]]",huffman
erdos-renyi,25,2,28.0,0.08484848484848485,1.4181818181818182,10,6,10,"[N:T20,0,[], N:T15,28.0,[]]",huffman
erdos-renyi,25,2,24.0,0.08333333333333333,1.4513888888888888,10,4,10,"[N:T14,0,[], N:T6,24.0,[]]",huffman
erdos-renyi,25,3,24.0,0.04878048780487805,1.353658536585366,10,7,10,"[N:T5,0,[], N:T13,24.0,[]]",huffman
erdos-renyi,25,3,28.0,0.07909604519774012,1.4689265536723164,10,8,10,"[N:T10,0,[], N:T7,28.0,[]]",huffman
erdos-renyi,25,3,32.0,0.08290155440414508,1.6010362694300517,10,6,10,"[N:T8,0,[], N:T4,32.0,[]]",huffman
erdos-renyi,25,3,20.0,0.05,1.57,10,7,10,"[N:T24,0,[], N:T20,20.0,[]]",huffman
erdos-renyi,25,3,30.0,0.07537688442211055,1.5678391959798994,10,6,10,"[N:T6,0,[], N:T19,30.0,[]]",huffman
erdos-renyi,25,4,32.0,0.06037735849056604,1.2981132075471697,10,7,10,"[N:T8,0,[], N:T3,32.0,[]]",huffman
erdos-renyi,25,4,34.0,0.06028368794326241,1.4219858156028369,10,9,10,"[N:T9,0,[], N:T1,34.0,[]]",huffman
erdos-renyi,25,4,26.0,0.05508474576271186,1.5254237288135593,10,9,10,"[N:T18,0,[], N:T11,26.0,[]]",huffman
erdos-renyi,25,4,34.0,0.07456140350877193,1.587719298245614,10,7,10,"[N:T0,0,[], N:T4,34.0,[]]",huffman
erdos-renyi,25,4,30.0,0.06880733944954129,1.3944954128440368,10,6,10,"[N:T6,0,[], N:T23,30.0,[]]",huffman
erdos-renyi,25,5,22.0,0.051643192488262914,1.4507042253521127,10,7,10,"[N:T19,0,[], N:T11,22.0,[]]",huffman
erdos-renyi,25,5,26.0,0.04814814814814815,1.3814814814814815,10,7,10,"[N:T12,0,[], N:T5,26.0,[]]",huffman
