graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,8.0,0.08333333333333333,2.0,10,3,10,"[T3 W: 0, T0 W: 8.0]",original
erdos-renyi,25,1,9.0,0.075,2.0,10,4,10,"[T1 W: 0, T6 W: 9.0]",original
erdos-renyi,25,1,9.0,0.07258064516129033,2.0,10,3,10,"[T0 W: 0, T3 W: 9.0]",original
erdos-renyi,25,1,18.0,0.1125,1.525,10,3,10,"[T17 W: 0, T12 W: 18.0]",original
erdos-renyi,25,1,18.0,0.11688311688311688,1.8311688311688312,10,4,10,"[T13 W: 0, T17 W: 18.0]",original
erdos-renyi,25,2,18.0,0.06766917293233082,1.6917293233082706,10,5,10,"[T16 W: 0, T13 W: 18.0]",original
erdos-renyi,25,2,18.0,0.07894736842105263,1.631578947368421,10,4,10,"[T14 W: 0, T6 W: 18.0]",original
erdos-renyi,25,2,18.0,0.09278350515463918,1.4639175257731958,10,5,10,"[T23 W: 0, T2 W: 18.0]",original
erdos-renyi,25,2,14.0,0.06086956521739131,1.7652173913043478,10,5,10,"[T16 W: 0, T2 W: 14.0]",original
erdos-renyi,25,2,18.0,0.06382978723404255,1.4539007092198581,10,5,10,"[T10 W: 0, T13 W: 18.0]",original
erdos-renyi,25,3,18.0,0.04205607476635514,1.411214953271028,10,7,10,"[T15 W: 0, T22 W: 18.0]",original
erdos-renyi,25,3,18.0,0.03829787234042553,1.4723404255319148,10,8,10,"[T1 W: 0, T24 W: 18.0]",original
erdos-renyi,25,3,14.0,0.07368421052631578,1.568421052631579,10,4,10,"[T5 W: 0, T10 W: 14.0]",original
erdos-renyi,25,3,18.0,0.03896103896103896,1.4025974025974026,10,7,10,"[T10 W: 0, T21 W: 18.0]",original
erdos-renyi,25,3,18.0,0.046153846153846156,1.6256410256410256,10,6,10,"[T21 W: 0, T10 W: 18.0]",original
erdos-renyi,25,4,18.0,0.038461538461538464,1.6153846153846154,10,8,10,"[T11 W: 0, T12 W: 18.0]",original
erdos-renyi,25,4,18.0,0.039647577092511016,1.6651982378854626,10,10,10,"[T13 W: 0, T12 W: 18.0]",original
erdos-renyi,25,4,18.0,0.027522935779816515,1.4128440366972477,10,9,10,"[T1 W: 0, T23 W: 18.0]",original
