graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
star,25,1,35.0,0.14583333333333334,1.7083333333333333,10,10,10,"[T18 W: 0, T20 W: 13.0, T21 W: 11.0]",2,egobalance
star,25,1,26.0,0.1326530612244898,1.530612244897959,10,10,10,"[T24 W: 0, T21 W: 10.0, T18 W: 8.0]",2,egobalance
star,25,1,20.0,0.0970873786407767,1.4368932038834952,10,10,10,"[T1 W: 0, T15 W: 8.0, T21 W: 6.0]",2,egobalance
star,25,1,35.0,0.18617021276595744,1.5212765957446808,10,10,10,"[T22 W: 0, T20 W: 17.0, T12 W: 9.0]",2,egobalance
star,25,1,30.0,0.1171875,1.4296875,10,10,10,"[T24 W: 0, T11 W: 8.0, T16 W: 11.0]",2,egobalance
star,25,2,30.0,0.06726457399103139,1.5336322869955157,10,10,10,"[T4 W: 0, T24 W: 8.0, T18 W: 8.0]",2,egobalance
star,25,2,44.0,0.08527131782945736,1.7093023255813953,10,10,10,"[T16 W: 0, T13 W: 14.0, T14 W: 15.0]",2,egobalance
star,25,2,30.0,0.06607929515418502,1.60352422907489,10,10,10,"[T2 W: 0, T12 W: 16.0, T24 W: 7.0]",2,egobalance
star,25,2,40.0,0.09009009009009009,1.7567567567567568,10,10,10,"[T19 W: 0, T24 W: 12.0, T21 W: 14.0]",2,egobalance
star,25,2,34.0,0.07589285714285714,1.5223214285714286,10,9,10,"[T19 W: 0, T11 W: 12.0, T22 W: 11.0]",2,egobalance
star,25,3,46.0,0.06318681318681318,1.6428571428571428,10,10,10,"[T23 W: 0, T18 W: 12.0, T19 W: 17.0]",2,egobalance
star,25,3,43.0,0.06073446327683616,1.6384180790960452,10,10,10,"[T22 W: 0, T24 W: 17.0, T14 W: 13.0]",2,egobalance
star,25,3,32.0,0.0443213296398892,1.407202216066482,10,10,10,"[T19 W: 0, T20 W: 14.0, T13 W: 9.0]",2,egobalance
star,25,3,32.0,0.05228758169934641,1.6241830065359477,10,10,10,"[T12 W: 0, T20 W: 12.0, T10 W: 10.0]",2,egobalance
star,25,3,37.0,0.05300859598853868,1.6189111747851004,10,10,10,"[T20 W: 0, T11 W: 7.0, T24 W: 15.0]",2,egobalance
star,25,4,41.0,0.0438034188034188,1.5576923076923077,10,11,10,"[T23 W: 0, T13 W: 15.0, T17 W: 13.0]",2,egobalance
star,25,4,52.0,0.06265060240963856,1.6024096385542168,10,10,10,"[T12 W: 0, T14 W: 16.0, T21 W: 14.0]",2,egobalance
star,25,4,57.0,0.05610236220472441,1.5925196850393701,10,10,10,"[T9 W: 0, T12 W: 13.0, T17 W: 22.0]",2,egobalance
