graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,18.0,0.19148936170212766,2.0,10,3,10,"[N:T3,0,[], N:T0,18.0,[]]",bfs
erdos-renyi,25,1,14.0,0.15555555555555556,2.0,10,4,10,"[N:T3,0,[], N:T15,14.0,[]]",bfs
erdos-renyi,25,1,24.0,0.11320754716981132,1.650943396226415,10,4,10,"[N:T17,0,[], N:T21,24.0,[]]",bfs
erdos-renyi,25,1,18.0,0.15517241379310345,2.0,10,3,10,"[N:T0,0,[], N:T1,18.0,[]]",bfs
erdos-renyi,25,1,16.0,0.18181818181818182,2.0,10,4,10,"[N:T7,0,[], N:T4,16.0,[]]",bfs
erdos-renyi,25,2,30.0,0.08620689655172414,1.4482758620689655,10,6,10,"[N:T10,0,[], N:T5,30.0,[]]",bfs
erdos-renyi,25,2,18.0,0.15,1.55,10,3,10,"[N:T8,0,[], N:T23,18.0,[]]",bfs
erdos-renyi,25,2,22.0,0.0738255033557047,1.5100671140939597,10,5,10,"[N:T19,0,[], N:T4,22.0,[]]",bfs
erdos-renyi,25,2,18.0,0.06569343065693431,1.5401459854014599,10,6,10,"[N:T1,0,[], N:T14,18.0,[]]",bfs
erdos-renyi,25,2,28.0,0.09032258064516129,1.3870967741935485,10,6,10,"[N:T5,0,[], N:T0,28.0,[]]",bfs
erdos-renyi,25,3,30.0,0.06976744186046512,1.5767441860465117,10,6,10,"[N:T9,0,[], N:T3,30.0,[]]",bfs
erdos-renyi,25,3,36.0,0.09326424870466321,1.6062176165803108,10,6,10,"[N:T11,0,[], N:T7,36.0,[]]",bfs
erdos-renyi,25,3,20.0,0.056179775280898875,1.4325842696629214,10,5,10,"[N:T7,0,[], N:T17,20.0,[]]",bfs
erdos-renyi,25,3,30.0,0.08426966292134831,1.5112359550561798,10,5,10,"[N:T5,0,[], N:T17,30.0,[]]",bfs
erdos-renyi,25,3,18.0,0.054878048780487805,1.5426829268292683,10,6,10,"[N:T20,0,[], N:T6,18.0,[]]",bfs
erdos-renyi,25,4,30.0,0.06493506493506493,1.4761904761904763,10,6,10,"[N:T1,0,[], N:T22,30.0,[]]",bfs
erdos-renyi,25,4,24.0,0.0502092050209205,1.4142259414225942,10,7,10,"[N:T14,0,[], N:T4,24.0,[]]",bfs
erdos-renyi,25,4,26.0,0.05531914893617021,1.421276595744681,10,8,10,"[N:T2,0,[], N:T7,26.0,[]]",bfs
erdos-renyi,25,4,20.0,0.05025125628140704,1.5427135678391959,10,7,10,"[N:T7,0,[], N:T21,20.0,[]]",bfs
erdos-renyi,25,4,32.0,0.05860805860805861,1.5274725274725274,10,9,10,"[N:T8,0,[], N:T13,32.0,[]]",bfs
erdos-renyi,25,5,32.0,0.050156739811912224,1.401253918495298,10,10,10,"[N:T24,0,[], N:T7,32.0,[]]",bfs
erdos-renyi,25,5,32.0,0.06584362139917696,1.353909465020576,10,7,10,"[N:T21,0,[], N:T3,32.0,[]]",bfs
erdos-renyi,25,5,18.0,0.039301310043668124,1.6899563318777293,10,11,10,"[N:T4,0,[], N:T0,18.0,[]]",bfs
erdos-renyi,25,5,30.0,0.05415162454873646,1.6498194945848375,10,10,10,"[N:T20,0,[], N:T3,30.0,[]]",bfs
erdos-renyi,25,5,28.0,0.04487179487179487,1.5032051282051282,10,12,10,"[N:T18,0,[], N:T10,28.0,[]]",bfs
erdos-renyi,25,6,30.0,0.046012269938650305,1.3987730061349692,10,10,10,"[N:T23,0,[], N:T4,30.0,[]]",bfs
erdos-renyi,25,6,24.0,0.03592814371257485,1.470059880239521,10,11,10,"[N:T15,0,[], N:T8,24.0,[]]",bfs
erdos-renyi,25,6,34.0,0.04292929292929293,1.4419191919191918,10,12,10,"[N:T5,0,[], N:T11,34.0,[]]",bfs
erdos-renyi,25,6,26.0,0.03494623655913978,1.314516129032258,10,9,10,"[N:T20,0,[], N:T2,26.0,[]]",bfs
erdos-renyi,25,6,32.0,0.0486322188449848,1.4893617021276595,10,12,10,"[N:T1,0,[], N:T9,32.0,[]]",bfs
erdos-renyi,25,7,34.0,0.03953488372093023,1.4976744186046511,10,13,10,"[N:T10,0,[], N:T16,34.0,[]]",bfs
erdos-renyi,25,7,34.0,0.03655913978494624,1.3548387096774193,10,13,10,"[N:T4,0,[], N:T24,34.0,[]]",bfs
erdos-renyi,25,7,32.0,0.043243243243243246,1.3594594594594596,10,10,10,"[N:T10,0,[], N:T9,32.0,[]]",bfs
erdos-renyi,25,7,34.0,0.04314720812182741,1.3020304568527918,10,9,10,"[N:T20,0,[], N:T19,34.0,[]]",bfs
erdos-renyi,25,7,34.0,0.03953488372093023,1.3209302325581396,10,11,10,"[N:T17,0,[], N:T19,34.0,[]]",bfs
erdos-renyi,25,8,34.0,0.03777777777777778,1.3688888888888888,10,12,10,"[N:T20,0,[], N:T9,34.0,[]]",bfs
erdos-renyi,25,8,32.0,0.034408602150537634,1.3720430107526882,10,13,10,"[N:T5,0,[], N:T15,32.0,[]]",bfs
erdos-renyi,25,8,32.0,0.03747072599531616,1.334894613583138,10,12,10,"[N:T6,0,[], N:T0,32.0,[]]",bfs
erdos-renyi,25,8,36.0,0.041666666666666664,1.3935185185185186,10,12,10,"[N:T15,0,[], N:T13,36.0,[]]",bfs
erdos-renyi,25,8,32.0,0.034334763948497854,1.5171673819742488,10,15,10,"[N:T5,0,[], N:T24,32.0,[]]",bfs
erdos-renyi,25,9,36.0,0.03481624758220503,1.2727272727272727,10,11,10,"[N:T2,0,[], N:T10,36.0,[]]",bfs
erdos-renyi,25,9,32.0,0.029850746268656716,1.3600746268656716,10,14,10,"[N:T10,0,[], N:T16,32.0,[]]",bfs
erdos-renyi,25,9,32.0,0.032719836400818,1.3640081799591002,10,13,10,"[N:T16,0,[], N:T24,32.0,[]]",bfs
erdos-renyi,25,9,32.0,0.032520325203252036,1.3373983739837398,10,12,10,"[N:T6,0,[], N:T0,32.0,[]]",bfs
erdos-renyi,25,9,30.0,0.03006012024048096,1.3987975951903808,10,13,10,"[N:T12,0,[], N:T13,30.0,[]]",bfs
erdos-renyi,25,10,38.0,0.02753623188405797,1.4840579710144928,10,17,10,"[N:T16,0,[], N:T20,26.0,[], N:T2,6.0,[]]",bfs
erdos-renyi,25,10,36.0,0.027692307692307693,1.3523076923076922,10,14,10,"[N:T11,0,[], N:T9,24.0,[], N:T5,6.0,[]]",bfs
erdos-renyi,25,10,32.0,0.02909090909090909,1.3381818181818181,10,13,10,"[N:T4,0,[], N:T9,32.0,[]]",bfs
erdos-renyi,25,10,31.0,0.027240773286467488,1.3620386643233744,10,15,10,"[N:T23,0,[], N:T22,24.0,[], N:T21,2.0,[]]",bfs
erdos-renyi,25,10,36.0,0.02903225806451613,1.261290322580645,10,14,10,"[N:T8,0,[], N:T15,36.0,[]]",bfs
erdos-renyi,25,1,18.0,0.20930232558139536,2.0,16,3,16,"[N:T7,0,[], N:T6,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.1956521739130435,2.0,16,3,16,"[N:T5,0,[], N:T12,18.0,[]]",bfs
erdos-renyi,25,1,16.0,0.11940298507462686,1.6417910447761195,16,3,16,"[N:T1,0,[], N:T11,16.0,[]]",bfs
erdos-renyi,25,1,14.0,0.14,2.0,16,4,16,"[N:T2,0,[], N:T11,14.0,[]]",bfs
erdos-renyi,25,1,16.0,0.32,2.0,16,2,16,"[N:T13,0,[], N:T10,16.0,[]]",bfs
