graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,18.0,0.3333333333333333,2.0,10,2,10,"[N:T12,0,[], N:T9,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.10714285714285714,1.619047619047619,10,4,10,"[N:T6,0,[], N:T1,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.10465116279069768,1.6627906976744187,10,3,10,"[N:T2,0,[], N:T4,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.15517241379310345,2.0,10,4,10,"[N:T22,0,[], N:T12,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.1125,1.65,10,4,10,"[N:T9,0,[], N:T10,18.0,[]]",bfs
erdos-renyi,25,2,26.0,0.0896551724137931,1.4206896551724137,10,5,10,"[N:T13,0,[], N:T1,26.0,[]]",bfs
erdos-renyi,25,2,18.0,0.09278350515463918,1.4948453608247423,10,4,10,"[N:T2,0,[], N:T1,18.0,[]]",bfs
erdos-renyi,25,2,18.0,0.15789473684210525,2.0,10,4,10,"[N:T1,0,[], N:T7,18.0,[]]",bfs
erdos-renyi,25,2,18.0,0.09183673469387756,1.6122448979591837,10,5,10,"[N:T9,0,[], N:T7,18.0,[]]",bfs
erdos-renyi,25,2,20.0,0.06896551724137931,1.4206896551724137,10,4,10,"[N:T24,0,[], N:T23,20.0,[]]",bfs
erdos-renyi,25,3,28.0,0.08187134502923976,1.4678362573099415,10,6,10,"[N:T4,0,[], N:T10,28.0,[]]",bfs
erdos-renyi,25,3,30.0,0.07462686567164178,1.3830845771144278,10,6,10,"[N:T3,0,[], N:T4,30.0,[]]",bfs
erdos-renyi,25,3,32.0,0.0898876404494382,1.6741573033707866,10,10,10,"[N:T22,0,[], N:T2,32.0,[]]",bfs
erdos-renyi,25,3,36.0,0.07086614173228346,1.4881889763779528,10,6,10,"[N:T2,0,[], N:T20,36.0,[]]",bfs
erdos-renyi,25,3,28.0,0.07865168539325842,1.5449438202247192,10,6,10,"[N:T14,0,[], N:T18,28.0,[]]",bfs
