graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,21.0,0.022483940042826552,1.0610278372591007,10,13,10,"[T1 W: 0, T11 W: 6.0, T20 W: 0]",0.25
erdos-renyi,25,7,25.0,0.03078817733990148,0.9125615763546798,10,10,10,"[T2 W: 0, T6 W: 17.0, T22 W: 0]",0.25
erdos-renyi,25,7,28.0,0.03017241379310345,0.7941810344827587,10,11,10,"[T10 W: 0, T3 W: 16.0, T20 W: 0]",0.25
erdos-renyi,25,7,24.0,0.024691358024691357,0.7479423868312757,10,12,10,"[T17 W: 0, T13 W: 16.0, T23 W: 0]",0.25
erdos-renyi,25,7,29.0,0.03994490358126722,0.790633608815427,10,10,10,"[T7 W: 0, T13 W: 16.0, T21 W: 0]",0.25
erdos-renyi,25,9,31.0,0.029580152671755726,0.8711832061068703,10,15,10,"[T21 W: 0, T13 W: 16.0, T22 W: 0]",0.33
erdos-renyi,25,9,26.0,0.02448210922787194,0.8804143126177024,10,12,10,"[T4 W: 0, T9 W: 17.0, T21 W: 0]",0.33
erdos-renyi,25,9,45.0,0.04189944134078212,0.8584729981378026,10,12,10,"[T2 W: 0, T18 W: 16.0, T16 W: 8.0, T20 W: 0]",0.33
erdos-renyi,25,9,30.0,0.0297029702970297,1.193069306930693,10,17,10,"[T19 W: 0, T20 W: 15.0, T21 W: 0]",0.33
erdos-renyi,25,9,31.0,0.026182432432432432,0.8293918918918919,10,13,10,"[T6 W: 0, T17 W: 13.0, T20 W: 0]",0.33
erdos-renyi,25,7,25.0,0.032981530343007916,0.7506596306068601,16,10,16,"[T18 W: 0, T11 W: 12.0, T20 W: 0]",0.25
erdos-renyi,25,7,31.0,0.03311965811965812,0.9946581196581197,16,12,16,"[T17 W: 0, T13 W: 14.0, T23 W: 0]",0.25
erdos-renyi,25,7,33.0,0.04263565891472868,0.8772609819121447,16,10,16,"[T4 W: 0, T8 W: 17.0, T6 W: 0]",0.25
erdos-renyi,25,7,27.0,0.028066528066528068,0.9116424116424117,16,14,16,"[T15 W: 0, T1 W: 18.0, T18 W: 0]",0.25
erdos-renyi,25,7,27.0,0.03435114503816794,0.8969465648854962,16,10,16,"[T0 W: 0, T12 W: 18.0, T22 W: 0]",0.25
erdos-renyi,25,9,27.0,0.027892561983471075,1.0754132231404958,16,14,16,"[T8 W: 0, T10 W: 9.0, T22 W: 0]",0.33
erdos-renyi,25,9,24.0,0.01904761904761905,1.034920634920635,16,15,16,"[T2 W: 0, T11 W: 9.0, T18 W: 0]",0.33
erdos-renyi,25,9,29.0,0.025985663082437275,0.9453405017921147,16,16,16,"[T1 W: 0, T14 W: 12.0, T3 W: 0]",0.33
erdos-renyi,25,9,27.0,0.022203947368421052,1.1126644736842106,16,15,16,"[T15 W: 0, T0 W: 9.0, T24 W: 0]",0.33
erdos-renyi,25,9,26.0,0.02869757174392936,0.9392935982339956,16,12,16,"[T10 W: 0, T20 W: 12.0, T14 W: 0]",0.33
erdos-renyi,25,7,33.0,0.03975903614457831,0.9746987951807229,24,13,24,"[T1 W: 0, T5 W: 17.0, T14 W: 0]",0.25
erdos-renyi,25,7,24.0,0.024291497975708502,0.7803643724696356,24,12,24,"[T7 W: 0, T6 W: 8.0, T17 W: 0]",0.25
erdos-renyi,25,7,25.0,0.030413625304136254,0.7895377128953771,24,10,24,"[T3 W: 0, T0 W: 8.0, T6 W: 0]",0.25
erdos-renyi,25,7,25.0,0.026652452025586353,0.849680170575693,24,11,24,"[T0 W: 0, T16 W: 8.0, T18 W: 0]",0.25
erdos-renyi,25,7,24.0,0.031914893617021274,0.8563829787234043,24,10,24,"[T4 W: 0, T9 W: 14.0, T22 W: 0]",0.25
erdos-renyi,25,9,26.0,0.025390625,1.064453125,24,13,24,"[T7 W: 0, T11 W: 9.0, T19 W: 0]",0.33
erdos-renyi,25,9,24.0,0.02390438247011952,1.0697211155378485,24,14,24,"[T0 W: 0, T14 W: 8.0, T5 W: 0]",0.33
