graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,14.0,0.10294117647058823,1.6911764705882353,10,3,10,"[T8 W: 0, T23 W: 14.0]",egobalance
erdos-renyi,25,1,18.0,0.1267605633802817,1.591549295774648,10,3,10,"[T10 W: 0, T18 W: 18.0]",egobalance
erdos-renyi,25,1,9.0,0.07894736842105263,2.0,10,4,10,"[T3 W: 0, T0 W: 9.0]",egobalance
erdos-renyi,25,1,9.0,0.11538461538461539,2.0,10,3,10,"[T12 W: 0, T13 W: 9.0]",egobalance
erdos-renyi,25,1,16.0,0.12307692307692308,1.6,10,3,10,"[T0 W: 0, T14 W: 16.0]",egobalance
erdos-renyi,25,2,16.0,0.07407407407407407,1.6759259259259258,10,4,10,"[T24 W: 0, T3 W: 16.0]",egobalance
erdos-renyi,25,2,18.0,0.06818181818181818,1.621212121212121,10,6,10,"[T2 W: 0, T20 W: 18.0]",egobalance
erdos-renyi,25,2,16.0,0.07476635514018691,1.5327102803738317,10,4,10,"[T2 W: 0, T19 W: 16.0]",egobalance
erdos-renyi,25,2,16.0,0.05333333333333334,1.6533333333333333,10,5,10,"[T16 W: 0, T5 W: 16.0]",egobalance
erdos-renyi,25,2,14.0,0.0673076923076923,1.7403846153846154,10,5,10,"[T17 W: 0, T5 W: 14.0]",egobalance
erdos-renyi,25,3,18.0,0.046875,1.390625,10,6,10,"[T0 W: 0, T18 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.05142857142857143,1.4685714285714286,10,4,10,"[T3 W: 0, T8 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.04072398190045249,1.502262443438914,10,7,10,"[T24 W: 0, T4 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.045,1.325,10,5,10,"[T24 W: 0, T7 W: 18.0]",egobalance
erdos-renyi,25,3,14.0,0.04216867469879518,1.680722891566265,10,8,10,"[T4 W: 0, T12 W: 14.0]",egobalance
erdos-renyi,25,4,16.0,0.02973977695167286,1.5687732342007434,10,9,10,"[T2 W: 0, T0 W: 16.0]",egobalance
