graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,9.0,0.08490566037735849,2.0,10,4,10,"[T8 W: 0, T9 W: 9.0]",egobalance
erdos-renyi,25,1,9.0,0.12162162162162163,2.0,10,2,10,"[T5 W: 0, T3 W: 9.0]",egobalance
erdos-renyi,25,1,16.0,0.10126582278481013,1.7468354430379747,10,4,10,"[T9 W: 0, T16 W: 16.0]",egobalance
erdos-renyi,25,1,18.0,0.1323529411764706,1.6176470588235294,10,3,10,"[T19 W: 0, T17 W: 18.0]",egobalance
erdos-renyi,25,1,9.0,0.09782608695652174,2.0,10,2,10,"[T2 W: 0, T1 W: 9.0]",egobalance
erdos-renyi,25,2,18.0,0.06923076923076923,1.5538461538461539,10,4,10,"[T2 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,2,18.0,0.05325443786982249,1.4260355029585798,10,6,10,"[T1 W: 0, T10 W: 18.0]",egobalance
erdos-renyi,25,2,16.0,0.08791208791208792,1.5824175824175823,10,4,10,"[T17 W: 0, T10 W: 16.0]",egobalance
erdos-renyi,25,2,18.0,0.07758620689655173,1.6810344827586208,10,4,10,"[T9 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,2,18.0,0.06766917293233082,1.5338345864661653,10,5,10,"[T9 W: 0, T4 W: 18.0]",egobalance
erdos-renyi,25,3,17.0,0.05379746835443038,1.5443037974683544,10,5,10,"[T14 W: 0, T19 W: 17.0]",egobalance
erdos-renyi,25,3,16.0,0.05228758169934641,1.5294117647058822,10,5,10,"[T1 W: 0, T0 W: 16.0]",egobalance
erdos-renyi,25,3,18.0,0.041666666666666664,1.412037037037037,10,6,10,"[T4 W: 0, T5 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.05454545454545454,1.5212121212121212,10,7,10,"[T16 W: 0, T6 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.05263157894736842,1.5087719298245614,10,5,10,"[T1 W: 0, T6 W: 18.0]",egobalance
erdos-renyi,25,4,16.0,0.026936026936026935,1.3905723905723906,10,7,10,"[T24 W: 0, T0 W: 16.0]",egobalance
erdos-renyi,25,4,18.0,0.04072398190045249,1.339366515837104,10,8,10,"[T1 W: 0, T23 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.0410958904109589,1.4292237442922375,10,8,10,"[T5 W: 0, T18 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.0391304347826087,1.4565217391304348,10,7,10,"[T8 W: 0, T6 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.05521472392638037,1.4478527607361964,10,7,10,"[T6 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.0313588850174216,1.348432055749129,10,7,10,"[T18 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,5,16.0,0.02572347266881029,1.6655948553054662,10,17,10,"[T6 W: 0, T7 W: 16.0]",egobalance
erdos-renyi,25,5,18.0,0.030201342281879196,1.4731543624161074,10,9,10,"[T8 W: 0, T10 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.024657534246575342,1.5041095890410958,10,13,10,"[T4 W: 0, T16 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.02425876010781671,1.3773584905660377,10,8,10,"[T9 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.024657534246575342,1.3753424657534246,10,8,10,"[T9 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.023255813953488372,1.5090439276485788,10,10,10,"[T3 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.022900763358778626,1.3206106870229009,10,9,10,"[T3 W: 0, T9 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.024930747922437674,1.5373961218836565,10,13,10,"[T12 W: 0, T13 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.022167487684729065,1.3916256157635467,10,11,10,"[T17 W: 0, T6 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.022556390977443608,1.5137844611528821,10,13,10,"[T23 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.022443890274314215,1.3615960099750624,10,11,10,"[T8 W: 0, T4 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02027027027027027,1.3873873873873874,10,12,10,"[T8 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02368421052631579,1.4236842105263159,10,12,10,"[T2 W: 0, T6 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.0225,1.2875,10,11,10,"[T2 W: 0, T8 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.022388059701492536,1.2885572139303483,10,10,10,"[T0 W: 0, T24 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.022556390977443608,1.4360902255639099,10,12,10,"[T2 W: 0, T5 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.018072289156626505,1.3253012048192772,10,12,10,"[T0 W: 0, T17 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.018947368421052633,1.3936842105263159,10,12,10,"[T7 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.01882845188284519,1.3535564853556485,10,13,10,"[T14 W: 0, T5 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.0166358595194085,1.4436229205175601,10,16,10,"[T0 W: 0, T2 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.01768172888015717,1.2848722986247545,10,12,10,"[T3 W: 0, T5 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.016304347826086956,1.4057971014492754,10,14,10,"[T9 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.015957446808510637,1.3386524822695036,10,14,10,"[T0 W: 0, T13 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.015280135823429542,1.400679117147708,10,15,10,"[T0 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,10,18.0,0.016100178890876567,1.588550983899821,10,19,10,"[T14 W: 0, T23 W: 18.0]",egobalance
erdos-renyi,25,10,26.0,0.020537124802527645,1.320695102685624,10,14,10,"[T10 W: 0, T12 W: 6.0, T21 W: 10.0]",egobalance
erdos-renyi,25,10,18.0,0.016453382084095063,1.4862888482632541,10,14,10,"[T6 W: 0, T16 W: 18.0]",egobalance
erdos-renyi,25,10,21.0,0.017529215358931552,1.4040066777963272,10,17,10,"[T16 W: 0, T20 W: 3.0, T6 W: 9.0]",egobalance
erdos-renyi,25,10,18.0,0.013677811550151976,1.419452887537994,10,17,10,"[T20 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,1,14.0,0.10606060606060606,1.6363636363636365,16,3,16,"[T5 W: 0, T23 W: 14.0]",egobalance
erdos-renyi,25,1,9.0,0.13636363636363635,2.0,16,2,16,"[T8 W: 0, T7 W: 9.0]",egobalance
erdos-renyi,25,1,8.0,0.0851063829787234,2.0,16,2,16,"[T0 W: 0, T2 W: 8.0]",egobalance
erdos-renyi,25,1,16.0,0.14285714285714285,1.5357142857142858,16,4,16,"[T4 W: 0, T21 W: 16.0]",egobalance
erdos-renyi,25,1,9.0,0.06716417910447761,1.7611940298507462,16,3,16,"[T10 W: 0, T17 W: 9.0]",egobalance
erdos-renyi,25,2,12.0,0.06451612903225806,1.6344086021505377,16,3,16,"[T1 W: 0, T3 W: 12.0]",egobalance
erdos-renyi,25,2,16.0,0.064,1.64,16,4,16,"[T24 W: 0, T7 W: 16.0]",egobalance
erdos-renyi,25,2,18.0,0.09278350515463918,1.6185567010309279,16,4,16,"[T24 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,2,16.0,0.05194805194805195,1.4870129870129871,16,11,16,"[T0 W: 0, T15 W: 16.0]",egobalance
erdos-renyi,25,2,18.0,0.06521739130434782,1.4420289855072463,16,6,16,"[T15 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.054878048780487805,1.396341463414634,16,5,16,"[T22 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.05806451612903226,1.4709677419354839,16,5,16,"[T16 W: 0, T20 W: 18.0]",egobalance
erdos-renyi,25,3,16.0,0.04819277108433735,1.5180722891566265,16,5,16,"[T1 W: 0, T7 W: 16.0]",egobalance
erdos-renyi,25,3,18.0,0.06338028169014084,1.556338028169014,16,5,16,"[T21 W: 0, T11 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.04128440366972477,1.3990825688073394,16,7,16,"[T22 W: 0, T8 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.0371900826446281,1.5578512396694215,16,11,16,"[T0 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.026785714285714284,1.6458333333333333,16,15,16,"[T3 W: 0, T23 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.04225352112676056,1.591549295774648,16,8,16,"[T14 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.04054054054054054,1.554054054054054,16,8,16,"[T6 W: 0, T9 W: 18.0]",egobalance
erdos-renyi,25,4,16.0,0.0365296803652968,1.356164383561644,16,6,16,"[T13 W: 0, T2 W: 16.0]",egobalance
erdos-renyi,25,5,17.0,0.024285714285714285,1.4714285714285715,16,9,16,"[T23 W: 0, T11 W: 17.0]",egobalance
erdos-renyi,25,5,18.0,0.04,1.4577777777777778,16,7,16,"[T17 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.034482758620689655,1.3371647509578544,16,7,16,"[T20 W: 0, T2 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.025787965616045846,1.4040114613180517,16,9,16,"[T2 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.030927835051546393,1.4123711340206186,16,8,16,"[T19 W: 0, T5 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.028391167192429023,1.4037854889589905,16,8,16,"[T0 W: 0, T8 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.02821316614420063,1.4420062695924765,16,9,16,"[T3 W: 0, T24 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.030201342281879196,1.389261744966443,16,8,16,"[T22 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.021844660194174758,1.4174757281553398,16,11,16,"[T22 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.027692307692307693,1.3846153846153846,16,9,16,"[T21 W: 0, T13 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.022443890274314215,1.3940149625935163,16,11,16,"[T10 W: 0, T22 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02459016393442623,1.3907103825136613,16,9,16,"[T7 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.023809523809523808,1.3095238095238095,16,9,16,"[T0 W: 0, T21 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.02102803738317757,1.3060747663551402,16,11,16,"[T1 W: 0, T24 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.017892644135188866,1.510934393638171,16,15,16,"[T20 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.023622047244094488,1.4330708661417322,16,10,16,"[T0 W: 0, T4 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.021377672209026127,1.4061757719714965,16,13,16,"[T13 W: 0, T12 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.019148936170212766,1.4574468085106382,16,13,16,"[T6 W: 0, T16 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.016605166051660517,1.378228782287823,16,14,16,"[T8 W: 0, T3 W: 18.0]",egobalance
erdos-renyi,25,8,18.0,0.017543859649122806,1.286549707602339,16,13,16,"[T8 W: 0, T9 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.01559792027729636,1.34315424610052,16,14,16,"[T0 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.01615798922800718,1.4308797127468582,16,14,16,"[T2 W: 0, T13 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.0189873417721519,1.4915611814345993,16,13,16,"[T4 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.017208413001912046,1.3269598470363289,16,14,16,"[T6 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,9,18.0,0.015817223198594025,1.3479789103690685,16,14,16,"[T3 W: 0, T17 W: 18.0]",egobalance
erdos-renyi,25,10,18.0,0.015,1.4483333333333333,16,16,16,"[T5 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,10,17.0,0.014382402707275803,1.3976311336717429,16,16,16,"[T23 W: 0, T2 W: 17.0]",egobalance
erdos-renyi,25,10,18.0,0.013493253373313344,1.3478260869565217,16,14,16,"[T15 W: 0, T2 W: 18.0]",egobalance
erdos-renyi,25,10,18.0,0.01291248206599713,1.2998565279770444,16,16,16,"[T2 W: 0, T21 W: 18.0]",egobalance
erdos-renyi,25,10,18.0,0.014516129032258065,1.3903225806451613,16,15,16,"[T21 W: 0, T9 W: 18.0]",egobalance
erdos-renyi,25,1,16.0,0.09090909090909091,1.7045454545454546,24,4,24,"[T3 W: 0, T10 W: 16.0]",egobalance
erdos-renyi,25,1,16.0,0.10666666666666667,1.5466666666666666,24,3,24,"[T12 W: 0, T15 W: 16.0]",egobalance
erdos-renyi,25,1,9.0,0.10227272727272728,2.0,24,2,24,"[T10 W: 0, T5 W: 9.0]",egobalance
erdos-renyi,25,1,9.0,0.07258064516129033,2.0,24,4,24,"[T7 W: 0, T20 W: 9.0]",egobalance
erdos-renyi,25,1,16.0,0.11594202898550725,1.6666666666666667,24,3,24,"[T14 W: 0, T19 W: 16.0]",egobalance
erdos-renyi,25,2,18.0,0.058823529411764705,1.5163398692810457,24,6,24,"[T2 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,2,16.0,0.0963855421686747,1.5542168674698795,24,4,24,"[T18 W: 0, T17 W: 16.0]",egobalance
erdos-renyi,25,2,9.0,0.06818181818181818,2.0,24,4,24,"[T3 W: 0, T6 W: 9.0]",egobalance
erdos-renyi,25,2,18.0,0.05172413793103448,1.5229885057471264,24,6,24,"[T2 W: 0, T7 W: 18.0]",egobalance
erdos-renyi,25,2,14.0,0.1,1.7428571428571429,24,3,24,"[T24 W: 0, T19 W: 14.0]",egobalance
erdos-renyi,25,3,18.0,0.04712041884816754,1.3455497382198953,24,6,24,"[T5 W: 0, T10 W: 18.0]",egobalance
erdos-renyi,25,3,16.0,0.04145077720207254,1.6839378238341969,24,7,24,"[T10 W: 0, T4 W: 16.0]",egobalance
erdos-renyi,25,3,14.0,0.03608247422680412,1.7628865979381443,24,8,24,"[T5 W: 0, T22 W: 14.0]",egobalance
