graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,50.0,0.05813953488372093,0.8825581395348837,10,12,10,"[N:T4,0,[], N:T7,24.0,[], N:T16,0,[]]",0.25
erdos-renyi,25,7,50.0,0.05154639175257732,0.8865979381443299,10,13,10,"[N:T2,0,[], N:T4,32.0,[], N:T9,0,[]]",0.25
erdos-renyi,25,7,50.0,0.06265664160401002,0.8258145363408521,10,12,10,"[N:T10,0,[], N:T4,28.0,[], N:T12,0,[]]",0.25
erdos-renyi,25,7,56.0,0.08433734939759036,0.822289156626506,10,9,10,"[N:T0,0,[], N:T9,22.0,[], N:T11,0,[]]",0.25
erdos-renyi,25,7,46.0,0.05032822757111598,1.0700218818380745,10,14,10,"[N:T0,0,[], N:T6,16.0,[], N:T23,0,[]]",0.25
erdos-renyi,25,9,54.0,0.04745166959578207,0.7978910369068541,10,13,10,"[N:T4,0,[], N:T10,36.0,[], N:T18,0,[]]",0.33
erdos-renyi,25,9,50.0,0.046992481203007516,0.8580827067669173,10,12,10,"[N:T5,0,[], N:T15,24.0,[], N:T6,0,[]]",0.33
erdos-renyi,25,9,58.0,0.05311355311355311,0.8131868131868132,10,13,10,"[N:T15,0,[], N:T12,30.0,[], N:T18,0,[]]",0.33
erdos-renyi,25,9,58.0,0.049069373942470386,1.089678510998308,10,15,10,"[N:T9,0,[], N:T21,28.0,[], N:T18,0,[]]",0.33
erdos-renyi,25,9,52.0,0.04537521815008726,0.8211169284467714,10,14,10,"[N:T6,0,[], N:T20,28.0,[], N:T7,0,[]]",0.33
erdos-renyi,25,7,42.0,0.058823529411764705,0.8011204481792717,16,10,16,"[N:T1,0,[], N:T12,22.0,[], N:T20,0,[]]",0.25
erdos-renyi,25,7,42.0,0.05526315789473684,0.8394736842105263,16,10,16,"[N:T1,0,[], N:T22,16.0,[], N:T14,0,[]]",0.25
erdos-renyi,25,7,38.0,0.05337078651685393,0.8651685393258427,16,10,16,"[N:T5,0,[], N:T10,28.0,[], N:T7,0,[]]",0.25
erdos-renyi,25,7,60.0,0.06,0.714,16,11,16,"[N:T3,0,[], N:T21,30.0,[], N:T22,0,[]]",0.25
erdos-renyi,25,7,58.0,0.06971153846153846,0.6598557692307693,16,9,16,"[N:T3,0,[], N:T14,34.0,[], N:T17,0,[]]",0.25
erdos-renyi,25,9,50.0,0.045372050816696916,0.8774954627949183,16,12,16,"[N:T4,0,[], N:T2,16.0,[], N:T9,0,[]]",0.33
erdos-renyi,25,9,54.0,0.053465346534653464,0.9435643564356435,16,11,16,"[N:T3,0,[], N:T18,26.0,[], N:T12,0,[]]",0.33
erdos-renyi,25,9,52.0,0.05148514851485148,0.7277227722772277,16,11,16,"[N:T10,0,[], N:T13,34.0,[], N:T11,0,[]]",0.33
erdos-renyi,25,9,56.0,0.059957173447537475,1.1295503211991436,16,14,16,"[N:T6,0,[], N:T16,30.0,[], N:T24,0,[]]",0.33
erdos-renyi,25,9,50.0,0.042662116040955635,0.7491467576791809,16,13,16,"[N:T6,0,[], N:T4,22.0,[], N:T21,0,[]]",0.33
erdos-renyi,25,7,54.0,0.06279069767441861,0.8755813953488372,24,11,24,"[N:T11,0,[], N:T7,24.0,[], N:T17,0,[]]",0.25
erdos-renyi,25,7,48.0,0.05217391304347826,0.7728260869565218,24,11,24,"[N:T17,0,[], N:T11,16.0,[], N:T23,0,[]]",0.25
erdos-renyi,25,7,52.0,0.058165548098434,1.052572706935123,24,13,24,"[N:T12,0,[], N:T8,34.0,[], N:T21,0,[]]",0.25
erdos-renyi,25,7,46.0,0.05569007263922518,1.0641646489104115,24,13,24,"[N:T0,0,[], N:T14,28.0,[], N:T7,0,[]]",0.25
erdos-renyi,25,7,48.0,0.06417112299465241,0.9385026737967914,24,11,24,"[N:T4,0,[], N:T21,32.0,[], N:T22,0,[]]",0.25
erdos-renyi,25,9,58.0,0.04931972789115646,0.9260204081632653,24,14,24,"[N:T9,0,[], N:T8,34.0,[], N:T12,0,[]]",0.33
erdos-renyi,25,9,50.0,0.052854122621564484,1.0602536997885834,24,13,24,"[N:T12,0,[], N:T20,22.0,[], N:T23,0,[]]",0.33
erdos-renyi,25,9,52.0,0.05029013539651837,0.902321083172147,24,11,24,"[N:T8,0,[], N:T5,26.0,[], N:T23,0,[]]",0.33
erdos-renyi,25,9,54.0,0.05443548387096774,0.9102822580645161,24,13,24,"[N:T0,0,[], N:T7,36.0,[], N:T20,0,[]]",0.33
erdos-renyi,25,9,58.0,0.05197132616487455,0.8754480286738351,24,12,24,"[N:T3,0,[], N:T21,32.0,[], N:T7,0,[]]",0.33
erdos-renyi,25,7,48.0,0.05673758865248227,0.7044917257683215,48,10,48,"[N:T7,0,[], N:T15,16.0,[], N:T18,0,[]]",0.25
