graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,16.0,0.11940298507462686,1.5522388059701493,10,3,10,"[N:T16,0,[], N:T12,16.0,[]]",huffman
erdos-renyi,25,1,18.0,0.13432835820895522,1.5522388059701493,10,3,10,"[N:T4,0,[], N:T14,18.0,[]]",huffman
erdos-renyi,25,1,18.0,0.12857142857142856,1.7142857142857142,10,2,10,"[N:T0,0,[], N:T4,18.0,[]]",huffman
erdos-renyi,25,1,18.0,0.15789473684210525,2.0,10,4,10,"[N:T8,0,[], N:T5,18.0,[]]",huffman
erdos-renyi,25,1,28.0,0.14432989690721648,1.8144329896907216,10,4,10,"[N:T5,0,[], N:T12,28.0,[]]",huffman
erdos-renyi,25,2,24.0,0.09375,1.515625,10,5,10,"[N:T15,0,[], N:T17,24.0,[]]",huffman
erdos-renyi,25,2,32.0,0.1111111111111111,1.5694444444444444,10,5,10,"[N:T5,0,[], N:T11,32.0,[]]",huffman
erdos-renyi,25,2,28.0,0.12727272727272726,1.6272727272727272,10,5,10,"[N:T22,0,[], N:T7,28.0,[]]",huffman
erdos-renyi,25,2,18.0,0.07258064516129033,1.7096774193548387,10,5,10,"[N:T1,0,[], N:T8,18.0,[]]",huffman
erdos-renyi,25,2,22.0,0.09243697478991597,1.7142857142857142,10,5,10,"[N:T19,0,[], N:T2,22.0,[]]",huffman
erdos-renyi,25,3,26.0,0.07386363636363637,1.5681818181818181,10,6,10,"[N:T19,0,[], N:T11,26.0,[]]",huffman
erdos-renyi,25,3,26.0,0.10483870967741936,1.6693548387096775,10,6,10,"[N:T20,0,[], N:T4,26.0,[]]",huffman
erdos-renyi,25,3,18.0,0.05232558139534884,1.6569767441860466,10,7,10,"[N:T0,0,[], N:T4,18.0,[]]",huffman
erdos-renyi,25,3,30.0,0.10344827586206896,1.4896551724137932,10,5,10,"[N:T4,0,[], N:T20,30.0,[]]",huffman
erdos-renyi,25,3,22.0,0.05789473684210526,1.4894736842105263,10,5,10,"[N:T18,0,[], N:T19,22.0,[]]",huffman
erdos-renyi,25,4,26.0,0.08387096774193549,1.4709677419354839,10,5,10,"[N:T2,0,[], N:T12,26.0,[]]",huffman
erdos-renyi,25,4,30.0,0.05813953488372093,1.3488372093023255,10,6,10,"[N:T21,0,[], N:T4,30.0,[]]",huffman
erdos-renyi,25,4,32.0,0.0642570281124498,1.4457831325301205,10,9,10,"[N:T22,0,[], N:T2,32.0,[]]",huffman
erdos-renyi,25,4,28.0,0.07142857142857142,1.403061224489796,10,7,10,"[N:T13,0,[], N:T14,28.0,[]]",huffman
erdos-renyi,25,4,34.0,0.06563706563706563,1.5752895752895753,10,8,10,"[N:T23,0,[], N:T17,34.0,[]]",huffman
erdos-renyi,25,5,34.0,0.06854838709677419,1.564516129032258,10,9,10,"[N:T16,0,[], N:T8,34.0,[]]",huffman
erdos-renyi,25,5,28.0,0.04361370716510903,1.5046728971962617,10,11,10,"[N:T7,0,[], N:T13,28.0,[]]",huffman
erdos-renyi,25,5,30.0,0.05319148936170213,1.4574468085106382,10,9,10,"[N:T17,0,[], N:T10,30.0,[]]",huffman
erdos-renyi,25,5,26.0,0.03987730061349693,1.5460122699386503,10,12,10,"[N:T9,0,[], N:T23,26.0,[]]",huffman
erdos-renyi,25,5,30.0,0.04477611940298507,1.6328358208955225,10,12,10,"[N:T12,0,[], N:T21,30.0,[]]",huffman
erdos-renyi,25,6,34.0,0.044854881266490766,1.437994722955145,10,12,10,"[N:T11,0,[], N:T24,34.0,[]]",huffman
erdos-renyi,25,6,36.0,0.05042016806722689,1.4481792717086834,10,10,10,"[N:T13,0,[], N:T15,36.0,[]]",huffman
erdos-renyi,25,6,32.0,0.041884816753926704,1.3638743455497382,10,9,10,"[N:T5,0,[], N:T19,32.0,[]]",huffman
erdos-renyi,25,6,34.0,0.053125,1.4375,10,10,10,"[N:T10,0,[], N:T14,34.0,[]]",huffman
erdos-renyi,25,6,32.0,0.04953560371517028,1.328173374613003,10,9,10,"[N:T9,0,[], N:T19,32.0,[]]",huffman
erdos-renyi,25,7,30.0,0.0364963503649635,1.3357664233576643,10,11,10,"[N:T19,0,[], N:T17,30.0,[]]",huffman
erdos-renyi,25,7,32.0,0.03747072599531616,1.4473067915690867,10,12,10,"[N:T0,0,[], N:T15,32.0,[]]",huffman
erdos-renyi,25,7,36.0,0.043373493975903614,1.3855421686746987,10,10,10,"[N:T22,0,[], N:T12,36.0,[]]",huffman
erdos-renyi,25,7,32.0,0.03695150115473441,1.3602771362586605,10,13,10,"[N:T7,0,[], N:T15,32.0,[]]",huffman
erdos-renyi,25,7,32.0,0.032388663967611336,1.4635627530364372,10,15,10,"[N:T13,0,[], N:T18,32.0,[]]",huffman
erdos-renyi,25,8,30.0,0.03937007874015748,1.4199475065616798,10,12,10,"[N:T8,0,[], N:T13,30.0,[]]",huffman
erdos-renyi,25,8,36.0,0.03501945525291829,1.4027237354085602,10,12,10,"[N:T18,0,[], N:T24,36.0,[]]",huffman
