graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,18.0,0.12857142857142856,2.0,10,4,10,"[N:T9,0,[], N:T0,18.0,[]]",huffman
erdos-renyi,25,1,18.0,0.1111111111111111,1.7777777777777777,10,4,10,"[N:T7,0,[], N:T18,18.0,[]]",huffman
erdos-renyi,25,1,12.0,0.1935483870967742,2.0,10,2,10,"[N:T13,0,[], N:T8,12.0,[]]",huffman
erdos-renyi,25,1,18.0,0.15,1.6666666666666667,10,3,10,"[N:T0,0,[], N:T11,18.0,[]]",huffman
erdos-renyi,25,1,18.0,0.15517241379310345,1.4655172413793103,10,3,10,"[N:T11,0,[], N:T14,18.0,[]]",huffman
erdos-renyi,25,2,18.0,0.0967741935483871,1.5806451612903225,10,4,10,"[N:T1,0,[], N:T7,18.0,[]]",huffman
erdos-renyi,25,2,30.0,0.17045454545454544,1.6704545454545454,10,4,10,"[N:T14,0,[], N:T16,30.0,[]]",huffman
erdos-renyi,25,2,18.0,0.06870229007633588,1.6564885496183206,10,5,10,"[N:T8,0,[], N:T0,18.0,[]]",huffman
erdos-renyi,25,2,28.0,0.11290322580645161,1.4274193548387097,10,4,10,"[N:T4,0,[], N:T21,28.0,[]]",huffman
erdos-renyi,25,2,24.0,0.10526315789473684,1.4385964912280702,10,4,10,"[N:T12,0,[], N:T15,24.0,[]]",huffman
erdos-renyi,25,3,18.0,0.05263157894736842,1.4795321637426901,10,6,10,"[N:T1,0,[], N:T22,18.0,[]]",huffman
erdos-renyi,25,3,18.0,0.04265402843601896,1.4407582938388626,10,8,10,"[N:T12,0,[], N:T0,18.0,[]]",huffman
erdos-renyi,25,3,26.0,0.07975460122699386,1.5030674846625767,10,6,10,"[N:T10,0,[], N:T5,26.0,[]]",huffman
erdos-renyi,25,3,26.0,0.05963302752293578,1.4541284403669725,10,7,10,"[N:T19,0,[], N:T14,26.0,[]]",huffman
erdos-renyi,25,3,26.0,0.07065217391304347,1.6304347826086956,10,6,10,"[N:T12,0,[], N:T8,26.0,[]]",huffman
erdos-renyi,25,4,22.0,0.045081967213114756,1.6352459016393444,10,10,10,"[N:T2,0,[], N:T21,22.0,[]]",huffman
erdos-renyi,25,4,36.0,0.0703125,1.62109375,10,8,10,"[N:T11,0,[], N:T5,36.0,[]]",huffman
erdos-renyi,25,4,26.0,0.05371900826446281,1.396694214876033,10,7,10,"[N:T2,0,[], N:T19,26.0,[]]",huffman
erdos-renyi,25,4,20.0,0.045454545454545456,1.5681818181818181,10,7,10,"[N:T2,0,[], N:T6,20.0,[]]",huffman
erdos-renyi,25,4,28.0,0.05128205128205128,1.4102564102564104,10,7,10,"[N:T2,0,[], N:T16,28.0,[]]",huffman
erdos-renyi,25,5,28.0,0.04093567251461988,1.3976608187134503,10,9,10,"[N:T0,0,[], N:T11,28.0,[]]",huffman
erdos-renyi,25,5,26.0,0.049429657794676805,1.4828897338403042,10,9,10,"[N:T17,0,[], N:T11,26.0,[]]",huffman
erdos-renyi,25,5,24.0,0.040955631399317405,1.5017064846416381,10,9,10,"[N:T15,0,[], N:T0,24.0,[]]",huffman
erdos-renyi,25,5,34.0,0.07024793388429752,1.4793388429752066,10,9,10,"[N:T23,0,[], N:T16,34.0,[]]",huffman
erdos-renyi,25,5,30.0,0.04746835443037975,1.3955696202531647,10,8,10,"[N:T0,0,[], N:T7,30.0,[]]",huffman
erdos-renyi,25,6,36.0,0.04285714285714286,1.430952380952381,10,10,10,"[N:T20,0,[], N:T13,36.0,[]]",huffman
erdos-renyi,25,6,32.0,0.045714285714285714,1.3457142857142856,10,9,10,"[N:T2,0,[], N:T22,32.0,[]]",huffman
erdos-renyi,25,6,30.0,0.03731343283582089,1.407960199004975,10,10,10,"[N:T24,0,[], N:T9,30.0,[]]",huffman
erdos-renyi,25,6,30.0,0.045317220543806644,1.3474320241691844,10,8,10,"[N:T1,0,[], N:T22,30.0,[]]",huffman
erdos-renyi,25,6,26.0,0.04113924050632911,1.4018987341772151,10,10,10,"[N:T20,0,[], N:T18,26.0,[]]",huffman
erdos-renyi,25,7,36.0,0.045,1.5525,10,14,10,"[N:T19,0,[], N:T10,36.0,[]]",huffman
erdos-renyi,25,7,36.0,0.03415559772296015,1.4212523719165084,10,12,10,"[N:T0,0,[], N:T13,36.0,[]]",huffman
erdos-renyi,25,7,32.0,0.04050632911392405,1.3772151898734177,10,10,10,"[N:T23,0,[], N:T2,32.0,[]]",huffman
erdos-renyi,25,7,30.0,0.036057692307692304,1.4350961538461537,10,17,10,"[N:T8,0,[], N:T3,30.0,[]]",huffman
erdos-renyi,25,7,32.0,0.03137254901960784,1.311764705882353,10,12,10,"[N:T2,0,[], N:T1,32.0,[]]",huffman
