graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,25.0,0.026709401709401708,0.8536324786324786,10,11,10,"[T10 W: 0, T20 W: 17.0, T14 W: 0]",0.25
erdos-renyi,25,7,29.0,0.03229398663697105,0.7628062360801782,10,10,10,"[T4 W: 0, T7 W: 12.0, T5 W: 0]",0.25
erdos-renyi,25,7,25.0,0.02962085308056872,0.9822274881516587,10,13,10,"[T4 W: 0, T18 W: 11.0, T14 W: 0]",0.25
erdos-renyi,25,7,30.0,0.03731343283582089,0.8980099502487562,10,10,10,"[T10 W: 0, T0 W: 17.0, T21 W: 0]",0.25
erdos-renyi,25,7,24.0,0.026490066225165563,0.9282560706401766,10,11,10,"[T0 W: 0, T15 W: 16.0, T4 W: 0]",0.25
erdos-renyi,25,9,32.0,0.03125,0.9130859375,10,14,10,"[T5 W: 0, T24 W: 17.0, T9 W: 0]",0.33
erdos-renyi,25,9,32.0,0.02888086642599278,1.101985559566787,10,15,10,"[T1 W: 0, T8 W: 15.0, T16 W: 0]",0.33
erdos-renyi,25,9,44.0,0.03728813559322034,0.9652542372881356,10,17,10,"[T1 W: 0, T20 W: 15.0, T6 W: 7.0, T2 W: 0]",0.33
erdos-renyi,25,9,27.0,0.025280898876404494,1.0739700374531835,10,14,10,"[T0 W: 0, T21 W: 9.0, T20 W: 0]",0.33
erdos-renyi,25,9,33.0,0.02930728241563055,1.3179396092362345,10,19,10,"[T14 W: 0, T16 W: 11.0, T17 W: 0]",0.33
erdos-renyi,25,7,25.0,0.026595744680851064,0.9212765957446809,16,11,16,"[T9 W: 0, T8 W: 17.0, T24 W: 0]",0.25
erdos-renyi,25,7,22.0,0.02849740932642487,0.7266839378238342,16,10,16,"[T15 W: 0, T4 W: 9.0, T19 W: 0]",0.25
erdos-renyi,25,7,27.0,0.03229665071770335,0.8803827751196173,16,11,16,"[T0 W: 0, T9 W: 9.0, T22 W: 0]",0.25
erdos-renyi,25,7,30.0,0.034722222222222224,1.0613425925925926,16,14,16,"[T14 W: 0, T8 W: 15.0, T20 W: 0]",0.25
erdos-renyi,25,7,25.0,0.029691211401425176,0.9441805225653207,16,12,16,"[T13 W: 0, T20 W: 16.0, T21 W: 0]",0.25
erdos-renyi,25,9,29.0,0.025800711743772242,0.8896797153024911,16,12,16,"[T3 W: 0, T0 W: 12.0, T17 W: 0]",0.33
erdos-renyi,25,9,26.0,0.023297491039426525,1.0456989247311828,16,13,16,"[T3 W: 0, T2 W: 9.0, T7 W: 0]",0.33
erdos-renyi,25,9,29.0,0.027001862197392923,1.1945996275605215,16,18,16,"[T14 W: 0, T17 W: 15.0, T24 W: 0]",0.33
erdos-renyi,25,9,23.0,0.023373983739837397,0.8201219512195121,16,14,16,"[T10 W: 0, T5 W: 8.0, T12 W: 0]",0.33
erdos-renyi,25,9,26.0,0.022569444444444444,0.9635416666666666,16,17,16,"[T2 W: 0, T8 W: 14.0, T24 W: 0]",0.33
erdos-renyi,25,7,20.0,0.02512562814070352,0.9798994974874372,24,13,24,"[T4 W: 0, T22 W: 6.0, T16 W: 0]",0.25
erdos-renyi,25,7,24.0,0.02702702702702703,0.963963963963964,24,10,24,"[T4 W: 0, T2 W: 16.0, T19 W: 0]",0.25
erdos-renyi,25,7,28.0,0.02857142857142857,0.7438775510204082,24,11,24,"[T11 W: 0, T13 W: 13.0, T21 W: 0]",0.25
erdos-renyi,25,7,28.0,0.027888446215139442,0.8774900398406374,24,12,24,"[T7 W: 0, T15 W: 18.0, T17 W: 0]",0.25
erdos-renyi,25,7,24.0,0.03519061583577713,0.9398826979472141,24,12,24,"[T1 W: 0, T3 W: 12.0, T5 W: 0]",0.25
erdos-renyi,25,9,25.0,0.02535496957403651,0.9310344827586207,24,12,24,"[T0 W: 0, T15 W: 8.0, T17 W: 0]",0.33
