graph;vertex_num;constant;congestion;real_congestion;avg_route_len;delta;max_delta;dan;most_congested_route;ratio;type
erdos-renyi;25;7;18.0;0.020454545454545454;1.3954545454545455;10;11;10;[T21 W: 0, T0 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.020642201834862386;1.371559633027523;10;11;10;[T0 W: 0, T22 W: 18.0];0.25;original
erdos-renyi;25;7;23.0;0.022908366533864542;1.3107569721115537;10;12;10;[T20 W: 0, T18 W: 3.0, T11 W: 10.0];0.25;original
erdos-renyi;25;7;17.0;0.01893095768374165;1.5612472160356348;10;14;10;[T6 W: 0, T11 W: 17.0];0.25;original
erdos-renyi;25;7;18.0;0.018329938900203666;1.3462321792260692;10;12;10;[T0 W: 0, T23 W: 18.0];0.25;original
erdos-renyi;25;9;18.0;0.01782178217821782;1.2851485148514852;10;12;10;[T8 W: 0, T24 W: 18.0];0.33;original
erdos-renyi;25;9;18.0;0.016728624535315983;1.3271375464684014;10;12;10;[T11 W: 0, T1 W: 18.0];0.33;original
erdos-renyi;25;9;16.0;0.014732965009208104;1.6022099447513811;10;18;10;[T4 W: 0, T11 W: 16.0];0.33;original
erdos-renyi;25;9;23.0;0.02137546468401487;1.395910780669145;10;14;10;[T22 W: 0, T13 W: 2.0, T1 W: 10.0];0.33;original
erdos-renyi;25;9;18.0;0.016697588126159554;1.3562152133580705;10;13;10;[T4 W: 0, T2 W: 18.0];0.33;original
erdos-renyi;25;7;18.0;0.019230769230769232;1.3632478632478633;16;12;16;[T14 W: 0, T0 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.019522776572668113;1.3600867678958786;16;12;16;[T2 W: 0, T23 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.02132701421800948;1.4976303317535544;16;14;16;[T2 W: 0, T12 W: 18.0];0.25;original
erdos-renyi;25;7;16.0;0.020202020202020204;1.3737373737373737;16;10;16;[T4 W: 0, T8 W: 16.0];0.25;original
erdos-renyi;25;7;18.0;0.02122641509433962;1.5471698113207548;16;15;16;[T11 W: 0, T21 W: 18.0];0.25;original
erdos-renyi;25;9;18.0;0.017509727626459144;1.3035019455252919;16;12;16;[T2 W: 0, T12 W: 18.0];0.33;original
erdos-renyi;25;9;16.0;0.014519056261343012;1.5172413793103448;16;17;16;[T8 W: 0, T0 W: 16.0];0.33;original
erdos-renyi;25;9;18.0;0.017241379310344827;1.3065134099616857;16;11;16;[T7 W: 0, T12 W: 18.0];0.33;original
erdos-renyi;25;9;18.0;0.016885553470919325;1.3377110694183865;16;11;16;[T13 W: 0, T0 W: 18.0];0.33;original
erdos-renyi;25;9;18.0;0.019650655021834062;1.4519650655021834;16;14;16;[T17 W: 0, T1 W: 18.0];0.33;original
erdos-renyi;25;7;18.0;0.019867549668874173;1.3951434878587197;24;11;24;[T8 W: 0, T16 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.019867549668874173;1.3752759381898454;24;11;24;[T8 W: 0, T5 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.02132701421800948;1.367298578199052;24;10;24;[T21 W: 0, T0 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.023809523809523808;1.2989417989417988;24;9;24;[T6 W: 0, T3 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.021791767554479417;1.3704600484261502;24;11;24;[T0 W: 0, T20 W: 18.0];0.25;original
erdos-renyi;25;9;18.0;0.01859504132231405;1.328512396694215;24;11;24;[T0 W: 0, T2 W: 18.0];0.33;original
erdos-renyi;25;9;20.0;0.017761989342806393;1.5701598579040852;24;16;24;[T17 W: 0, T0 W: 20.0];0.33;original
erdos-renyi;25;9;18.0;0.016605166051660517;1.3874538745387455;24;13;24;[T17 W: 0, T3 W: 18.0];0.33;original
erdos-renyi;25;9;18.0;0.01507537688442211;1.4673366834170853;24;14;24;[T0 W: 0, T17 W: 18.0];0.33;original
erdos-renyi;25;9;18.0;0.018108651911468814;1.3340040241448692;24;13;24;[T9 W: 0, T13 W: 18.0];0.33;original
erdos-renyi;25;7;18.0;0.02368421052631579;1.331578947368421;48;10;48;[T4 W: 0, T20 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.01939655172413793;1.3642241379310345;48;10;48;[T3 W: 0, T23 W: 18.0];0.25;original
erdos-renyi;25;7;18.0;0.02132701421800948;1.4407582938388626;48;10;48;[T4 W: 0, T24 W: 18.0];0.25;original
