graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,8.0,0.07547169811320754,2.0,10,4,10,"[T1 W: 0, T10 W: 8.0]",original
erdos-renyi,25,1,7.0,0.08139534883720931,2.0,10,4,10,"[T0 W: 0, T1 W: 7.0]",original
erdos-renyi,25,1,9.0,0.09375,2.0,10,3,10,"[T7 W: 0, T9 W: 9.0]",original
erdos-renyi,25,1,9.0,0.07758620689655173,2.0,10,4,10,"[T2 W: 0, T14 W: 9.0]",original
erdos-renyi,25,1,18.0,0.16666666666666666,1.7962962962962963,10,3,10,"[T3 W: 0, T24 W: 18.0]",original
erdos-renyi,25,2,18.0,0.10465116279069768,1.7209302325581395,10,6,10,"[T0 W: 0, T22 W: 18.0]",original
erdos-renyi,25,2,18.0,0.11392405063291139,1.6582278481012658,10,3,10,"[T2 W: 0, T11 W: 18.0]",original
erdos-renyi,25,2,18.0,0.0891089108910891,1.5841584158415842,10,4,10,"[T15 W: 0, T14 W: 18.0]",original
erdos-renyi,25,2,18.0,0.058823529411764705,1.6470588235294117,10,5,10,"[T9 W: 0, T17 W: 18.0]",original
erdos-renyi,25,2,18.0,0.06428571428571428,1.5571428571428572,10,5,10,"[T0 W: 0, T3 W: 18.0]",original
erdos-renyi,25,3,18.0,0.04918032786885246,1.4972677595628416,10,7,10,"[T3 W: 0, T23 W: 18.0]",original
erdos-renyi,25,3,16.0,0.03686635944700461,1.5714285714285714,10,7,10,"[T2 W: 0, T7 W: 16.0]",original
erdos-renyi,25,3,18.0,0.05421686746987952,1.6927710843373494,10,9,10,"[T19 W: 0, T5 W: 18.0]",original
erdos-renyi,25,3,18.0,0.058823529411764705,1.4640522875816993,10,5,10,"[T3 W: 0, T12 W: 18.0]",original
erdos-renyi,25,3,16.0,0.041025641025641026,1.476923076923077,10,7,10,"[T2 W: 0, T13 W: 16.0]",original
erdos-renyi,25,4,18.0,0.03202846975088968,1.3914590747330962,10,7,10,"[T2 W: 0, T13 W: 18.0]",original
erdos-renyi,25,4,18.0,0.03571428571428571,1.3373015873015872,10,8,10,"[T7 W: 0, T22 W: 18.0]",original
erdos-renyi,25,4,18.0,0.04225352112676056,1.3943661971830985,10,6,10,"[T1 W: 0, T9 W: 18.0]",original
erdos-renyi,25,4,18.0,0.03862660944206009,1.446351931330472,10,7,10,"[T19 W: 0, T5 W: 18.0]",original
erdos-renyi,25,4,18.0,0.03896103896103896,1.4415584415584415,10,8,10,"[T3 W: 0, T11 W: 18.0]",original
erdos-renyi,25,5,18.0,0.024725274725274724,1.478021978021978,10,9,10,"[T8 W: 0, T12 W: 18.0]",original
erdos-renyi,25,5,18.0,0.028846153846153848,1.5993589743589745,10,11,10,"[T15 W: 0, T12 W: 18.0]",original
erdos-renyi,25,5,18.0,0.02735562310030395,1.425531914893617,10,9,10,"[T3 W: 0, T0 W: 18.0]",original
erdos-renyi,25,5,18.0,0.02735562310030395,1.3282674772036474,10,9,10,"[T0 W: 0, T6 W: 18.0]",original
erdos-renyi,25,5,18.0,0.026470588235294117,1.4058823529411764,10,9,10,"[T15 W: 0, T1 W: 18.0]",original
erdos-renyi,25,6,18.0,0.02702702702702703,1.4024024024024024,10,9,10,"[T9 W: 0, T8 W: 18.0]",original
erdos-renyi,25,6,18.0,0.023376623376623377,1.3324675324675326,10,10,10,"[T6 W: 0, T12 W: 18.0]",original
erdos-renyi,25,6,18.0,0.030508474576271188,1.576271186440678,10,11,10,"[T5 W: 0, T22 W: 18.0]",original
erdos-renyi,25,6,18.0,0.022004889975550123,1.5354523227383863,10,15,10,"[T0 W: 0, T12 W: 18.0]",original
erdos-renyi,25,6,18.0,0.02158273381294964,1.4508393285371703,10,11,10,"[T1 W: 0, T14 W: 18.0]",original
erdos-renyi,25,7,18.0,0.021897810218978103,1.4087591240875912,10,11,10,"[T3 W: 0, T6 W: 18.0]",original
erdos-renyi,25,7,18.0,0.022613065326633167,1.3592964824120604,10,10,10,"[T23 W: 0, T1 W: 18.0]",original
erdos-renyi,25,7,18.0,0.021897810218978103,1.5474452554744527,10,13,10,"[T7 W: 0, T4 W: 18.0]",original
erdos-renyi,25,7,18.0,0.020785219399538105,1.4411085450346421,10,11,10,"[T2 W: 0, T4 W: 18.0]",original
erdos-renyi,25,7,18.0,0.021479713603818614,1.369928400954654,10,11,10,"[T1 W: 0, T18 W: 18.0]",original
erdos-renyi,25,8,18.0,0.018255578093306288,1.3995943204868153,10,13,10,"[T13 W: 0, T2 W: 18.0]",original
erdos-renyi,25,8,18.0,0.018329938900203666,1.4338085539714867,10,14,10,"[T1 W: 0, T3 W: 18.0]",original
erdos-renyi,25,8,18.0,0.01818181818181818,1.4262626262626263,10,13,10,"[T1 W: 0, T14 W: 18.0]",original
erdos-renyi,25,8,18.0,0.02040816326530612,1.433106575963719,10,12,10,"[T18 W: 0, T2 W: 18.0]",original
erdos-renyi,25,8,18.0,0.01727447216890595,1.3397312859884838,10,12,10,"[T1 W: 0, T18 W: 18.0]",original
erdos-renyi,25,9,18.0,0.015100671140939598,1.342281879194631,10,14,10,"[T4 W: 0, T1 W: 18.0]",original
erdos-renyi,25,9,18.0,0.017408123791102514,1.355899419729207,10,14,10,"[T0 W: 0, T11 W: 18.0]",original
erdos-renyi,25,9,18.0,0.017475728155339806,1.3436893203883495,10,12,10,"[T0 W: 0, T14 W: 18.0]",original
erdos-renyi,25,9,18.0,0.0189873417721519,1.4261603375527425,10,14,10,"[T24 W: 0, T10 W: 18.0]",original
erdos-renyi,25,9,18.0,0.016304347826086956,1.2481884057971016,10,13,10,"[T1 W: 0, T19 W: 18.0]",original
erdos-renyi,25,10,26.0,0.017543859649122806,1.45748987854251,10,17,10,"[T14 W: 0, T4 W: 26.0]",original
erdos-renyi,25,10,18.0,0.016333938294010888,1.2976406533575318,10,12,10,"[T0 W: 0, T5 W: 18.0]",original
erdos-renyi,25,10,18.0,0.017509727626459144,1.424124513618677,10,14,10,"[T0 W: 0, T7 W: 18.0]",original
erdos-renyi,25,10,26.0,0.02218430034129693,1.3805460750853242,10,14,10,"[T12 W: 0, T20 W: 4.0, T10 W: 11.0]",original
erdos-renyi,25,10,24.0,0.0213903743315508,1.4028520499108734,10,13,10,"[T19 W: 0, T6 W: 1.0, T12 W: 9.0]",original
erdos-renyi,25,1,9.0,0.16666666666666666,2.0,16,2,16,"[T0 W: 0, T2 W: 9.0]",original
erdos-renyi,25,1,9.0,0.07758620689655173,2.0,16,4,16,"[T1 W: 0, T11 W: 9.0]",original
erdos-renyi,25,1,18.0,0.1323529411764706,1.6323529411764706,16,3,16,"[T22 W: 0, T23 W: 18.0]",original
erdos-renyi,25,1,9.0,0.0661764705882353,2.0,16,4,16,"[T9 W: 0, T12 W: 9.0]",original
erdos-renyi,25,1,7.0,0.07,2.0,16,4,16,"[T5 W: 0, T12 W: 7.0]",original
erdos-renyi,25,2,18.0,0.08333333333333333,1.6759259259259258,16,5,16,"[T24 W: 0, T14 W: 18.0]",original
erdos-renyi,25,2,18.0,0.06206896551724138,1.4620689655172414,16,5,16,"[T7 W: 0, T6 W: 18.0]",original
erdos-renyi,25,2,9.0,0.03488372093023256,1.875968992248062,16,5,16,"[T3 W: 0, T13 W: 9.0]",original
erdos-renyi,25,2,18.0,0.08035714285714286,1.7589285714285714,16,7,16,"[T22 W: 0, T7 W: 18.0]",original
erdos-renyi,25,2,18.0,0.09473684210526316,1.7578947368421052,16,4,16,"[T13 W: 0, T3 W: 18.0]",original
erdos-renyi,25,3,18.0,0.06428571428571428,1.5928571428571427,16,6,16,"[T11 W: 0, T8 W: 18.0]",original
erdos-renyi,25,3,18.0,0.05325443786982249,1.532544378698225,16,6,16,"[T4 W: 0, T13 W: 18.0]",original
erdos-renyi,25,3,18.0,0.0410958904109589,1.6073059360730593,16,9,16,"[T14 W: 0, T1 W: 18.0]",original
erdos-renyi,25,3,18.0,0.05027932960893855,1.4301675977653632,16,6,16,"[T0 W: 0, T21 W: 18.0]",original
erdos-renyi,25,3,18.0,0.052941176470588235,1.4941176470588236,16,5,16,"[T20 W: 0, T17 W: 18.0]",original
erdos-renyi,25,4,16.0,0.03902439024390244,1.4195121951219511,16,6,16,"[T8 W: 0, T13 W: 16.0]",original
erdos-renyi,25,4,16.0,0.04597701149425287,1.4022988505747127,16,6,16,"[T6 W: 0, T18 W: 16.0]",original
erdos-renyi,25,4,18.0,0.03180212014134275,1.431095406360424,16,9,16,"[T4 W: 0, T10 W: 18.0]",original
erdos-renyi,25,4,18.0,0.02875399361022364,1.402555910543131,16,8,16,"[T12 W: 0, T6 W: 18.0]",original
erdos-renyi,25,4,18.0,0.03543307086614173,1.405511811023622,16,10,16,"[T1 W: 0, T16 W: 18.0]",original
erdos-renyi,25,5,18.0,0.026470588235294117,1.4941176470588236,16,11,16,"[T10 W: 0, T19 W: 18.0]",original
erdos-renyi,25,5,18.0,0.026470588235294117,1.3941176470588235,16,9,16,"[T14 W: 0, T16 W: 18.0]",original
erdos-renyi,25,5,18.0,0.03643724696356275,1.5182186234817814,16,8,16,"[T11 W: 0, T2 W: 18.0]",original
erdos-renyi,25,5,18.0,0.032846715328467155,1.562043795620438,16,11,16,"[T7 W: 0, T23 W: 18.0]",original
erdos-renyi,25,5,18.0,0.030201342281879196,1.4026845637583893,16,8,16,"[T9 W: 0, T1 W: 18.0]",original
erdos-renyi,25,6,18.0,0.02406417112299465,1.5240641711229947,16,11,16,"[T6 W: 0, T9 W: 18.0]",original
