graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,27.0,0.03117782909930716,0.8302540415704388,10,11,10,"[T3 W: 0, T17 W: 18.0, T13 W: 0]",0.25
erdos-renyi,25,7,29.0,0.03634085213032581,1.0601503759398496,10,15,10,"[T21 W: 0, T23 W: 15.0, T24 W: 0]",0.25
erdos-renyi,25,7,27.0,0.02721774193548387,0.8205645161290323,10,10,10,"[T6 W: 0, T14 W: 18.0, T12 W: 0]",0.25
erdos-renyi,25,7,21.0,0.028225806451612902,0.7620967741935484,10,9,10,"[T16 W: 0, T0 W: 9.0, T21 W: 0]",0.25
erdos-renyi,25,7,33.0,0.03650442477876106,0.9126106194690266,10,10,10,"[T2 W: 0, T9 W: 17.0, T3 W: 0]",0.25
erdos-renyi,25,9,23.0,0.021821631878557873,1.0246679316888045,10,15,10,"[T3 W: 0, T15 W: 15.0, T16 W: 0]",0.33
erdos-renyi,25,9,28.0,0.023608768971332208,0.9662731871838112,10,16,10,"[T3 W: 0, T22 W: 10.0, T7 W: 2.0, T9 W: 0]",0.33
erdos-renyi,25,9,26.0,0.024528301886792454,0.7471698113207547,10,13,10,"[T14 W: 0, T23 W: 12.0, T22 W: 0]",0.33
erdos-renyi,25,9,42.0,0.03431372549019608,0.8872549019607843,10,15,10,"[T0 W: 0, T8 W: 9.0, T19 W: 3.0, T21 W: 0]",0.33
erdos-renyi,25,9,25.0,0.02162629757785467,0.903114186851211,10,14,10,"[T11 W: 0, T18 W: 17.0, T14 W: 0]",0.33
erdos-renyi,25,7,27.0,0.03103448275862069,1.0045977011494254,16,13,16,"[T4 W: 0, T9 W: 14.0, T13 W: 0]",0.25
erdos-renyi,25,7,25.0,0.03881987577639751,0.906832298136646,16,10,16,"[T22 W: 0, T12 W: 16.0, T23 W: 0]",0.25
erdos-renyi,25,7,24.0,0.027842227378190254,0.9489559164733179,16,13,16,"[T0 W: 0, T10 W: 16.0, T8 W: 0]",0.25
erdos-renyi,25,7,26.0,0.035326086956521736,0.9836956521739131,16,11,16,"[T18 W: 0, T4 W: 16.0, T24 W: 0]",0.25
erdos-renyi,25,7,27.0,0.029094827586206896,0.8825431034482759,16,11,16,"[T9 W: 0, T18 W: 18.0, T24 W: 0]",0.25
erdos-renyi,25,9,29.0,0.027204502814258912,0.948405253283302,16,13,16,"[T16 W: 0, T1 W: 18.0, T23 W: 0]",0.33
erdos-renyi,25,9,26.0,0.02813852813852814,1.0086580086580086,16,14,16,"[T3 W: 0, T5 W: 13.0, T12 W: 0]",0.33
erdos-renyi,25,9,23.0,0.01805337519623234,0.8759811616954474,16,13,16,"[T7 W: 0, T24 W: 16.0, T20 W: 0]",0.33
erdos-renyi,25,9,27.0,0.025665399239543727,0.8631178707224335,16,12,16,"[T1 W: 0, T24 W: 9.0, T9 W: 0]",0.33
erdos-renyi,25,9,33.0,0.02859618717504333,0.9679376083188909,16,13,16,"[T6 W: 0, T9 W: 16.0, T14 W: 0]",0.33
erdos-renyi,25,7,24.0,0.031007751937984496,0.9405684754521964,24,12,24,"[T9 W: 0, T16 W: 15.0, T22 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03051643192488263,1.1068075117370892,24,17,24,"[T2 W: 0, T3 W: 17.0, T21 W: 0]",0.25
