,graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route,ratio
0,erdos-renyi,11,3,24.0,0.13186813186813187,1.175824175824176,3,3,"[T4 W: 0, T2 W: 8.0, T10 W: 0]",0.25
1,erdos-renyi,11,3,27.0,0.12053571428571427,1.2455357142857142,3,3,"[T1 W: 0, T8 W: 8.0, T7 W: 0]",0.25
2,erdos-renyi,11,3,34.0,0.19318181818181815,1.193181818181818,3,3,"[T2 W: 0, T6 W: 6.0, T7 W: 6.0, T9 W: 0]",0.25
3,erdos-renyi,11,3,26.0,0.19402985074626866,0.9925373134328358,3,3,"[T2 W: 0, T8 W: 9.0, T10 W: 0]",0.25
4,erdos-renyi,11,3,41.0,0.22777777777777775,1.5055555555555555,3,3,"[T3 W: 0, T5 W: 7.0, T0 W: 8.0, T6 W: 0]",0.25
5,erdos-renyi,11,4,31.0,0.14761904761904762,1.238095238095238,3,3,"[T5 W: 0, T8 W: 9.0, T2 W: 5.0, T10 W: 0]",0.33
6,erdos-renyi,11,4,28.0,0.1590909090909091,1.0340909090909092,3,3,"[T0 W: 0, T5 W: 3.0, T8 W: 3.0, T9 W: 13.0, T6 W: 0]",0.33
7,erdos-renyi,11,4,65.0,0.27310924369747897,1.1260504201680672,3,3,"[T8 W: 0, T7 W: 17.0, T6 W: 6.0, T10 W: 0]",0.33
8,erdos-renyi,11,4,23.0,0.19491525423728812,1.0338983050847457,3,3,"[T2 W: 0, T5 W: 9.0, T10 W: 0]",0.33
9,erdos-renyi,11,4,45.0,0.1956521739130435,1.1565217391304348,3,3,"[T0 W: 0, T6 W: 16.0, T10 W: 3.0, T1 W: 4.0, T5 W: 0]",0.33
10,erdos-renyi,11,5,48.0,0.21238938053097345,1.2168141592920354,3,3,"[T1 W: 0, T6 W: 16.0, T8 W: 8.0, T10 W: 0]",0.45
11,erdos-renyi,11,5,40.0,0.17699115044247787,1.0221238938053097,3,3,"[T7 W: 0, T0 W: 4.0, T6 W: 2.0, T1 W: 16.0, T10 W: 0]",0.45
12,erdos-renyi,11,5,38.0,0.1557377049180328,0.9754098360655736,3,3,"[T4 W: 0, T7 W: 10.0, T5 W: 14.0, T9 W: 0]",0.45
13,erdos-renyi,11,5,57.0,0.2159090909090909,1.0265151515151516,3,3,"[T1 W: 0, T8 W: 15.0, T4 W: 5.0, T5 W: 0]",0.45
14,erdos-renyi,11,5,64.0,0.2269503546099291,1.25531914893617,3,3,"[T4 W: 0, T7 W: 8.0, T8 W: 8.0, T10 W: 4.0, T5 W: 0]",0.45
15,erdos-renyi,11,3,18.0,0.13043478260869565,1.0144927536231885,6,2d,"[T0 W: 0, T10 W: 9.0, T4 W: 0]",0.25
16,erdos-renyi,11,3,18.0,0.15789473684210525,1.350877192982456,4,2d,"[T4 W: 0, T1 W: 9.0, T5 W: 0]",0.25
17,erdos-renyi,11,3,23.0,0.11979166666666667,0.7552083333333334,6,2d,"[T1 W: 0, T7 W: 9.0, T4 W: 0]",0.25
18,erdos-renyi,11,3,25.0,0.12376237623762375,1.034653465346535,6,2d,"[T3 W: 0, T9 W: 15.0, T8 W: 0]",0.25
19,erdos-renyi,11,3,19.0,0.15833333333333333,0.8416666666666667,4,2d,"[T3 W: 0, T6 W: 7.0, T5 W: 0]",0.25
20,erdos-renyi,11,4,27.0,0.10227272727272728,1.106060606060606,8,2d,"[T1 W: 0, T6 W: 18.0, T2 W: 0]",0.33
21,erdos-renyi,11,4,23.0,0.1116504854368932,0.8737864077669902,8,2d,"[T4 W: 0, T10 W: 9.0, T8 W: 0]",0.33
22,erdos-renyi,11,4,18.0,0.08490566037735849,0.6462264150943396,8,2d,"[T3 W: 0, T7 W: 12.0, T4 W: 0]",0.33
23,erdos-renyi,11,4,23.0,0.0942622950819672,1.3360655737704918,8,2d,"[T0 W: 0, T1 W: 9.0, T4 W: 0]",0.33
24,erdos-renyi,11,4,20.0,0.10869565217391304,0.9347826086956522,6,2d,"[T2 W: 0, T1 W: 7.0, T7 W: 0]",0.33
25,erdos-renyi,11,5,26.0,0.13,1.19,8,2d,"[T7 W: 0, T4 W: 7.0, T10 W: 0]",0.45
26,erdos-renyi,11,5,27.0,0.14516129032258066,0.8763440860215054,6,2d,"[T2 W: 0, T4 W: 14.0, T7 W: 0]",0.45
27,erdos-renyi,11,5,27.0,0.12385321100917432,1.018348623853211,6,2d,"[T3 W: 0, T1 W: 9.0, T4 W: 0]",0.45
28,erdos-renyi,11,5,27.0,0.1115702479338843,1.256198347107438,8,2d,"[T8 W: 0, T4 W: 14.0, T10 W: 0]",0.45
29,erdos-renyi,11,5,27.0,0.1134453781512605,0.7478991596638656,8,2d,"[T0 W: 0, T3 W: 9.0, T1 W: 0]",0.45
30,erdos-renyi,11,3,16.0,0.125,1.078125,8,4d,"[T1 W: 0, T8 W: 9.0, T6 W: 0]",0.25
31,erdos-renyi,11,3,19.0,0.1144578313253012,1.2349397590361446,16,4d,"[T0 W: 0, T10 W: 9.0, T2 W: 0]",0.25
32,erdos-renyi,11,3,15.0,0.08522727272727272,0.4602272727272727,12,4d,"[T0 W: 0, T2 W: 8.0, T1 W: 0]",0.25
33,erdos-renyi,11,3,16.0,0.11940298507462685,1.0522388059701493,12,4d,"[T0 W: 0, T3 W: 8.0, T1 W: 0]",0.25
34,erdos-renyi,11,3,22.0,0.18333333333333326,1.0833333333333333,8,4d,"[T5 W: 0, T9 W: 8.0, T6 W: 0]",0.25
35,erdos-renyi,11,4,27.0,0.125,1.0324074074074074,16,4d,"[T7 W: 0, T1 W: 16.0, T8 W: 0]",0.33
36,erdos-renyi,11,4,18.0,0.08571428571428573,1.0714285714285714,12,4d,"[T0 W: 0, T2 W: 5.0, T3 W: 0]",0.33
37,erdos-renyi,11,4,21.0,0.109375,1.0677083333333333,16,4d,"[T0 W: 0, T3 W: 6.0, T5 W: 0]",0.33
38,erdos-renyi,11,4,19.0,0.09895833333333333,1.1979166666666667,16,4d,"[T2 W: 0, T10 W: 10.0, T4 W: 0]",0.33
39,erdos-renyi,11,4,22.0,0.08208955223880597,0.9291044776119404,20,4d,"[T1 W: 0, T0 W: 13.0, T4 W: 0]",0.33
40,erdos-renyi,11,5,24.0,0.09917355371900828,1.0495867768595042,20,4d,"[T4 W: 0, T2 W: 16.0, T10 W: 0]",0.45
41,erdos-renyi,11,5,29.0,0.0935483870967742,1.2161290322580645,20,4d,"[T1 W: 0, T5 W: 20.0, T7 W: 0]",0.45
42,erdos-renyi,11,5,26.0,0.0948905109489051,1.0364963503649636,20,4d,"[T0 W: 0, T7 W: 17.0, T2 W: 0]",0.45
43,erdos-renyi,11,5,26.0,0.08843537414965986,1.1258503401360545,20,4d,"[T9 W: 0, T3 W: 14.0, T10 W: 0]",0.45
44,erdos-renyi,11,5,24.0,0.11009174311926606,0.8715596330275229,16,4d,"[T1 W: 0, T9 W: 12.0, T7 W: 0]",0.45
45,erdos-renyi,11,3,27.0,0.16265060240963855,1.2048192771084338,18,6d,"[T7 W: 0, T6 W: 12.0, T8 W: 0]",0.25
46,erdos-renyi,11,3,15.0,0.0949367088607595,0.8227848101265823,18,6d,"[T8 W: 0, T5 W: 6.0, T10 W: 0]",0.25
47,erdos-renyi,11,3,16.0,0.12121212121212123,0.7954545454545454,18,6d,"[T6 W: 0, T1 W: 11.0, T7 W: 0]",0.25
48,erdos-renyi,11,3,23.0,0.10648148148148147,0.9814814814814816,24,6d,"[T6 W: 0, T1 W: 16.0, T8 W: 0]",0.25
49,erdos-renyi,11,3,20.0,0.08928571428571429,0.6026785714285714,18,6d,"[T2 W: 0, T6 W: 14.0, T10 W: 0]",0.25
50,erdos-renyi,11,4,23.0,0.11855670103092784,0.9432989690721648,18,6d,"[T6 W: 0, T8 W: 15.0, T7 W: 0]",0.33
51,erdos-renyi,11,4,22.0,0.09482758620689656,0.9870689655172412,24,6d,"[T4 W: 0, T9 W: 15.0, T6 W: 0]",0.33
52,erdos-renyi,11,4,29.0,0.13425925925925927,1.0277777777777777,24,6d,"[T2 W: 0, T10 W: 16.0, T6 W: 0]",0.33
53,erdos-renyi,11,4,25.0,0.12376237623762375,0.7227722772277227,24,6d,"[T0 W: 0, T2 W: 16.0, T1 W: 0]",0.33
54,erdos-renyi,11,4,26.0,0.11403508771929825,1.2675438596491229,24,6d,"[T0 W: 0, T10 W: 12.0, T8 W: 0]",0.33
55,erdos-renyi,11,5,22.0,0.08943089430894309,0.8414634146341463,30,6d,"[T4 W: 0, T5 W: 10.0, T6 W: 0]",0.45
56,erdos-renyi,11,5,30.0,0.12295081967213115,0.9467213114754098,24,6d,"[T3 W: 0, T2 W: 15.0, T5 W: 0]",0.45
57,erdos-renyi,11,5,27.0,0.10887096774193547,1.0725806451612905,30,6d,"[T0 W: 0, T8 W: 9.0, T6 W: 0]",0.45
58,erdos-renyi,11,5,25.0,0.08116883116883117,1.0649350649350648,30,6d,"[T5 W: 0, T6 W: 8.0, T8 W: 0]",0.45
59,erdos-renyi,11,5,28.0,0.1068702290076336,0.9503816793893131,30,6d,"[T5 W: 0, T1 W: 13.0, T10 W: 0]",0.45
60,erdos-renyi,11,3,18.0,0.12857142857142856,1.0785714285714283,24,8d,"[T0 W: 0, T2 W: 9.0, T3 W: 0]",0.25
61,erdos-renyi,11,3,28.0,0.14893617021276595,1.3670212765957446,24,8d,"[T9 W: 0, T1 W: 10.0, T10 W: 0]",0.25
62,erdos-renyi,11,3,23.0,0.10747663551401868,1.0560747663551402,32,8d,"[T5 W: 0, T10 W: 7.0, T8 W: 0]",0.25
63,erdos-renyi,11,3,18.0,0.15789473684210525,1.2017543859649122,16,8d,"[T6 W: 0, T5 W: 9.0, T10 W: 0]",0.25
64,erdos-renyi,11,3,21.0,0.12209302325581395,1.0755813953488371,24,8d,"[T4 W: 0, T2 W: 14.0, T5 W: 0]",0.25
65,erdos-renyi,11,4,22.0,0.10576923076923077,1.2115384615384617,24,8d,"[T3 W: 0, T7 W: 9.0, T4 W: 0]",0.33
66,erdos-renyi,11,4,22.0,0.10679611650485436,0.8640776699029126,24,8d,"[T1 W: 0, T5 W: 5.0, T8 W: 0]",0.33
67,erdos-renyi,11,4,24.0,0.1111111111111111,1.0509259259259258,32,8d,"[T1 W: 0, T5 W: 9.0, T8 W: 0]",0.33
68,erdos-renyi,11,4,27.0,0.16463414634146342,0.9695121951219512,24,8d,"[T0 W: 0, T2 W: 9.0, T9 W: 0]",0.33
69,erdos-renyi,11,4,27.0,0.10714285714285714,1.0595238095238095,40,8d,"[T9 W: 0, T2 W: 14.0, T10 W: 0]",0.33
70,erdos-renyi,11,5,27.0,0.07458563535911603,1.0635359116022098,48,8d,"[T3 W: 0, T6 W: 18.0, T8 W: 0]",0.45
71,erdos-renyi,11,5,36.0,0.1592920353982301,1.3716814159292037,40,8d,"[T5 W: 0, T3 W: 13.0, T8 W: 0]",0.45
72,erdos-renyi,11,5,23.0,0.08846153846153848,1.1076923076923078,40,8d,"[T5 W: 0, T0 W: 11.0, T8 W: 0]",0.45
73,erdos-renyi,11,5,32.0,0.12598425196850396,1.1929133858267718,40,8d,"[T1 W: 0, T3 W: 14.0, T4 W: 0]",0.45
74,erdos-renyi,11,5,32.0,0.12030075187969926,1.1466165413533835,40,8d,"[T0 W: 0, T3 W: 17.0, T9 W: 0]",0.45
75,erdos-renyi,11,3,25.0,0.11682242990654206,0.7710280373831776,40,10d,"[T2 W: 0, T5 W: 8.0, T7 W: 0]",0.25
76,erdos-renyi,11,3,22.0,0.1111111111111111,1.1111111111111112,30,10d,"[T3 W: 0, T5 W: 8.0, T4 W: 0]",0.25
77,erdos-renyi,11,3,16.0,0.21621621621621626,0.9324324324324323,20,10d,"[T1 W: 0, T0 W: 8.0, T5 W: 0]",0.25
78,erdos-renyi,11,3,19.0,0.1217948717948718,1.1153846153846154,30,10d,"[T5 W: 0, T10 W: 8.0, T8 W: 0]",0.25
79,erdos-renyi,11,3,18.0,0.14754098360655735,1.024590163934426,20,10d,"[T4 W: 0, T9 W: 9.0, T5 W: 0]",0.25
